date,VULC3,ISAE4,BBDC3,FLRY3,POMO4,ITSA3,BBAS3,CMIG4,TAEE3,UNIP6
2016-07-21,0.804295957088,7.15804100037,8.48041915894,8.79322433472,1.33359920979,2.72765564919,5.68424606323,1.7579407692,4.06546640396,1.17700374126
2016-07-22,0.810082137585,7.21486663818,8.49472141266,8.83690166473,1.3467168808,2.75489640236,5.59199666977,1.75019729137,4.06546640396,1.18443012238
2016-07-25,0.810082137585,7.21486663818,8.43751335144,8.80778408051,1.35546183586,2.67998123169,5.7792096138,1.69405090809,4.06546640396,1.16029524803
2016-07-26,0.873731613159,7.17334032059,8.40891265869,8.8514585495,1.35546183586,2.69700741768,5.81719589233,1.74632465839,4.06546640396,1.14915657043
2016-07-27,0.89687693119,7.33835744858,8.44037818909,8.92424964905,1.29861962795,2.71403408051,5.82804632187,1.7618124485,4.06546640396,1.15658247471
2016-07-28,0.86794501543,7.40939044952,8.19725704193,9.02324867249,1.32048201561,2.70381879807,5.60827445984,1.75600504875,4.06546640396,1.15472602844
2016-07-29,0.86215865612,7.54053163528,8.3545665741,9.09021759033,1.3467168808,2.77192521095,5.71138000488,1.7598773241,4.06546640396,1.15658247471
2016-08-01,0.86215865612,7.34709978104,8.43751335144,9.09894943237,1.44291055202,2.71743822098,5.61370372772,1.75019729137,4.06546640396,1.13430500031
2016-08-02,0.86794501543,7.35802745819,8.31653308868,9.14262485504,1.41667592525,2.73787164688,5.48075437546,1.7076035738,4.06546640396,1.12873542309
2016-08-03,0.885303914547,7.21049642563,8.38807964325,9.58317375183,1.49538004398,2.82300376892,5.56757688522,1.7908539772,4.06546640396,1.13801789284
2016-08-04,1.65488255024,7.40392780304,8.554063797,9.84986019135,1.46477293968,2.81959843636,5.71680498123,1.87216842175,4.06546640396,1.15101325512
2016-08-05,2.14093232155,7.24000263214,8.53402805328,9.96415519714,1.47351861,2.826410532,5.75750350952,1.81021440029,4.06546640396,1.16215181351
2016-08-08,1.64909648895,7.21923923492,8.51400184631,10.1165494919,1.45602822304,2.79576206207,5.74393606186,1.845064044,4.06546640396,1.15101325512
2016-08-09,1.50443851948,7.10121202469,8.54834079742,10.3744449615,1.53473246098,2.81959843636,5.8063416481,1.81215107441,4.06546640396,1.16029524803
2016-08-10,1.55072951317,7.02253007889,8.29935932159,10.3685827255,1.48663532734,2.79576206207,5.66254043579,1.80634236336,4.06546640396,1.14915657043
2016-08-11,1.72431755066,7.14383459091,8.49969100952,10.2923870087,1.52161502838,2.83322024345,5.9827041626,1.87023258209,4.06546640396,1.15101325512
2016-08-12,1.62016427517,7.12744045258,8.53117179871,10.4975318909,1.51287007332,2.84343600273,6.15092515945,1.85861587524,4.06546640396,1.17886018753
2016-08-15,1.6085922718,7.25092935562,8.66281700134,10.482875824,1.53910493851,2.92559981346,6.28929853439,1.89733755589,4.06546640396,1.17886018753
