date,value
2017-08-15,3.1973
2017-08-16,3.1667
2017-08-17,3.16
2017-08-18,3.1651
2017-08-21,3.144
2017-08-22,3.1536
2017-08-23,3.1566
2017-08-24,3.1401
2017-08-25,3.1459
2017-08-28,3.156
2017-08-29,3.1692
2017-08-30,3.1635
2017-08-31,3.1468
2017-09-01,3.133
2017-09-04,3.1386
2017-09-05,3.12
2017-09-06,3.113
2017-09-08,3.0905
2017-09-11,3.0849
2017-09-12,3.1141
2017-09-13,3.134
2017-09-14,3.1351
2017-09-15,3.1252
2017-09-18,3.1236
2017-09-19,3.132
2017-09-20,3.1278
2017-09-21,3.1344
2017-09-22,3.1282
2017-09-25,3.1409
2017-09-26,3.1671
2017-09-27,3.1929
2017-09-28,3.1868
2017-09-29,3.1677
2017-10-02,3.1639
2017-10-03,3.1499
2017-10-04,3.1312
2017-10-05,3.1344
2017-10-06,3.1645
2017-10-09,3.1767
2017-10-10,3.1685
2017-10-11,3.1636
2017-10-13,3.15695
2017-10-16,3.1604
2017-10-17,3.1766
2017-10-18,3.167
2017-10-19,3.17295
2017-10-20,3.183
2017-10-23,3.2
2017-10-24,3.2467
2017-10-25,3.2384
2017-10-26,3.2441
2017-10-27,3.2798
2017-10-30,3.2544
2017-10-31,3.2766
2017-11-01,3.2733
2017-11-03,3.2917
2017-11-06,3.2848
2017-11-07,3.273
2017-11-08,3.2506
2017-11-09,3.2512
2017-11-10,3.2658
2017-11-13,3.287
2017-11-14,3.2831
2017-11-16,3.2805
2017-11-17,3.2785
2017-11-20,3.26155
2017-11-21,3.2588
2017-11-22,3.2558
2017-11-23,3.2368
2017-11-24,3.2297
2017-11-27,3.2215
2017-11-28,3.2229
2017-11-29,3.2133
2017-11-30,3.2613
2017-12-01,3.2633
2017-12-04,3.2503
2017-12-05,3.2319
2017-12-06,3.2351
2017-12-07,3.2889
2017-12-08,3.2808
2017-12-11,3.2842
2017-12-12,3.3146
2017-12-13,3.3033
2017-12-14,3.3329
2017-12-15,3.3179
2017-12-18,3.2878
2017-12-19,3.288
2017-12-20,3.2906
2017-12-21,3.3042
2017-12-22,3.3206
2017-12-26,3.3197
2017-12-27,3.30275
2017-12-28,3.3077
2017-12-29,3.3077
2018-01-02,3.2694
2018-01-03,3.2532
2018-01-04,3.2315
2018-01-05,3.2406
2018-01-08,3.2354
2018-01-09,3.2394
2018-01-10,3.2464
2018-01-11,3.2298
2018-01-12,3.21945
2018-01-15,3.196
2018-01-16,3.2216
2018-01-17,3.2321
2018-01-18,3.2126
2018-01-19,3.2084
2018-01-22,3.1931
2018-01-23,3.2246
2018-01-24,3.1967
2018-01-25,3.13855
2018-01-26,3.1447
2018-01-29,3.16515
2018-01-30,3.1658
2018-01-31,3.1621
2018-02-01,3.1727
2018-02-02,3.2057
2018-02-05,3.2352
2018-02-06,3.261
2018-02-07,3.2464
2018-02-08,3.2689
2018-02-09,3.2818
2018-02-14,3.25335
2018-02-15,3.2205
2018-02-16,3.2378
2018-02-19,3.2344
2018-02-20,3.2504
2018-02-21,3.2552
2018-02-22,3.2595
2018-02-23,3.2414
2018-02-26,3.2348
2018-02-27,3.238
2018-02-28,3.2446
2018-03-01,3.2617
2018-03-02,3.2611
2018-03-05,3.2579
2018-03-06,3.2243
2018-03-07,3.2315
2018-03-08,3.2515
2018-03-09,3.2493
2018-03-12,3.2603
2018-03-13,3.2489
2018-03-14,3.2581
2018-03-15,3.2856
2018-03-16,3.2902
2018-03-19,3.2908
2018-03-20,3.2978
2018-03-21,3.2918
2018-03-22,3.303
2018-03-23,3.3038
2018-03-26,3.3031
2018-03-27,3.3253
2018-03-28,3.3377
2018-03-29,3.3235
2018-04-02,3.3101
2018-04-03,3.3136
2018-04-04,3.3535
2018-04-05,3.3193
2018-04-06,3.3663
2018-04-09,3.39
2018-04-10,3.4192
2018-04-11,3.4049
2018-04-12,3.3855
2018-04-13,3.4102
2018-04-16,3.426
2018-04-17,3.4038
2018-04-18,3.3841
2018-04-19,3.3974
2018-04-20,3.40985
2018-04-23,3.4418
2018-04-24,3.4664
2018-04-25,3.5037
2018-04-26,3.4974
2018-04-27,3.4673
2018-04-30,3.4808
2018-05-02,3.5421
2018-05-03,3.5481
2018-05-04,3.5305
2018-05-07,3.5455
2018-05-08,3.5785
2018-05-09,3.594
2018-05-10,3.55635
2018-05-11,3.5713
2018-05-14,3.6094
2018-05-15,3.675
2018-05-16,3.68
2018-05-17,3.6871
2018-05-18,3.75
2018-05-21,3.7069
2018-05-22,3.6499
2018-05-23,3.6504
2018-05-24,3.6433
2018-05-25,3.6584
2018-05-28,3.7089
2018-05-29,3.7286
2018-05-30,3.7367
2018-06-01,3.741
2018-06-04,3.7421
2018-06-05,3.7749
2018-06-06,3.819
2018-06-07,3.8997
2018-06-08,3.7856
2018-06-11,3.691
2018-06-12,3.7041
2018-06-13,3.7051
2018-06-14,3.7054
2018-06-15,3.7735
2018-06-18,3.754
2018-06-19,3.7563
2018-06-20,3.7332
2018-06-21,3.7891
2018-06-22,3.766
2018-06-25,3.7757
2018-06-26,3.7718
2018-06-27,3.8355
2018-06-28,3.8518
2018-06-29,3.8555
2018-07-02,3.9052
2018-07-03,3.8917
2018-07-04,3.9055
2018-07-05,3.9189
2018-07-06,3.9261
2018-07-09,3.8686
2018-07-10,3.8449
2018-07-11,3.8414
2018-07-12,3.8561
2018-07-13,3.8742
2018-07-16,3.8576
2018-07-17,3.8668
2018-07-18,3.8471
2018-07-19,3.8844
2018-07-20,3.779
2018-07-23,3.7912
2018-07-24,3.7456
2018-07-25,3.7117
2018-07-26,3.724
2018-07-27,3.7161
2018-07-30,3.7152
2018-07-31,3.7546
2018-08-01,3.7488
2018-08-02,3.7642
2018-08-03,3.7198
2018-08-06,3.7211
2018-08-07,3.7115
2018-08-08,3.7516
2018-08-09,3.8027
2018-08-10,3.8469
2018-08-13,3.8985
2018-08-14,3.8809
2018-08-15,3.9131
2018-08-16,3.8807
2018-08-17,3.9386
2018-08-20,3.9427
2018-08-21,3.987
2018-08-22,4.0737
2018-08-23,4.0724
2018-08-24,4.0851
2018-08-27,4.0684
2018-08-28,4.1189
2018-08-29,4.135
2018-08-30,4.1809
2018-08-31,4.135
2018-09-03,4.1276
2018-09-04,4.1649
2018-09-05,4.1606
2018-09-06,4.1457
2018-09-10,4.1004
2018-09-11,4.1638
2018-09-12,4.1256
2018-09-13,4.1634
2018-09-14,4.1876
2018-09-17,4.1692
2018-09-18,4.1366
2018-09-19,4.1348
2018-09-20,4.0994
2018-09-21,4.0725
2018-09-24,4.0591
2018-09-25,4.1283
2018-09-26,4.0567
2018-09-27,4.0089
2018-09-28,4.0036
2018-10-01,4.027
2018-10-02,3.9502
2018-10-03,3.8539
2018-10-04,3.9044
2018-10-05,3.8696
2018-10-08,3.7585
2018-10-09,3.7388
2018-10-10,3.7507
2018-10-11,3.7457
2018-10-15,3.7329
2018-10-16,3.7076
2018-10-17,3.7005
2018-10-18,3.696
2018-10-19,3.7076
2018-10-22,3.69
2018-10-23,3.7077
2018-10-24,3.7057
2018-10-25,3.7011
2018-10-26,3.67495
2018-10-29,3.6365
2018-10-30,3.7016
2018-10-31,3.7174
2018-11-01,3.69705
2018-11-05,3.7045
2018-11-06,3.7489
2018-11-07,3.7589
2018-11-08,3.7388
2018-11-09,3.7503
2018-11-12,3.7475
2018-11-13,3.7789
2018-11-14,3.7921
2018-11-16,3.7522
2018-11-19,3.755
2018-11-20,3.75825
2018-11-21,3.7869
2018-11-22,3.81
2018-11-23,3.8078
2018-11-26,3.8652
2018-11-27,3.8922
2018-11-28,3.8628
2018-11-29,3.8565
2018-11-30,3.863
2018-12-03,3.8282
2018-12-04,3.831
2018-12-05,3.8558
2018-12-06,3.9175
2018-12-07,3.8961
2018-12-10,3.9107
2018-12-11,3.901
2018-12-12,3.8626
2018-12-13,3.8787
2018-12-14,3.9087
2018-12-17,3.9118
2018-12-18,3.8994
2018-12-19,3.8904
