TICKER,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,VPA,LPA,PEG RATIO,SETOR,IN_IBOV
TAEE3,0.6887966724157194,0.02112863609023542,-0.5892131031333283,-0.5504463333784538,1.2169677551196034,1.7366606034704535,1.4533284801347859,-0.6218320499628132,-0.4166988706240932,0.20005255768200444,0.4125164266578597,-1.7248066335672445,-0.18791998536584847,-0.3991713609449409,0.2972979604701107,0.9523620178766613,0.8724462637883676,1.4439870434433533,-0.1362157045457854,0.3463081265476465,-0.9579907244155054,1.0656908550167705,0.028833648664941976,-0.8563466654380893,-0.46832352499415675,1.2711101827674691,Utilidade Pública,False
TAEE4,0.6618479437324775,0.010433361702472185,-0.6278385151384929,-0.6034248062733966,1.2169677551196034,1.7366606034704535,1.4533284801347859,-0.5973695598885295,-0.4166988706240932,0.20005255768200444,0.4125164266578597,-1.7603838786116222,-0.18679849803595427,-0.44453642934451054,0.2972979604701107,0.9523620178766613,0.8724462637883676,1.4439870434433533,-0.1362157045457854,0.3463081265476465,-0.9579907244155054,1.0656908550167705,0.028833648664941976,-0.8563466654380893,-0.46832352499415675,1.2823035063058978,Utilidade Pública,False
ECOR3,-0.5167221186602343,0.7988934289515662,0.5674314110511851,0.8142893644097069,0.0857374492746701,0.6652473152126974,-0.38829743331129374,-1.1029605819618882,-0.8095311600511301,-1.6744922406708027,2.427296363049209,0.8932365683175788,0.1931390802575414,0.6676677351096906,-0.6254185469196608,0.04798895162215889,-0.8968614787070068,-0.4484056332557583,-1.5522737723693028,1.5035642711062456,-1.1007148858248321,-0.13694645999549288,,-0.16520072004624958,0.41347700003963556,0.42709559314096424,Bens Industriais,False
EMBJ3,-0.899034755113408,-1.0018801074794192,-0.01829369337786538,0.08849086161363065,-1.103448079940584,-1.0371670811923275,-1.0348435693537277,1.6340747890743832,1.3125903034240853,0.823023793687765,-0.7662277134934713,0.08979164909072944,0.22064036294282052,0.006068699011746655,-0.7782267597110429,-0.7490824906061506,-0.8927000303486108,-1.2165617642447721,-0.2502020225200518,0.14063419255025847,-0.028050744009618715,1.0911557380178933,,3.3459266881771152,2.255836951917736,-0.4914643242507902,Bens Industriais,False
FRAS3,-0.33136030421300616,0.13854785281278723,0.2200828026107016,0.10734277077716511,-0.22714698141635328,-0.7184855899128705,-0.6391261752458284,0.11311462719473366,-0.03751482259887576,-0.03786330853234767,-0.4012844279868375,0.36919001265581514,0.18451705649675115,0.10652090868106792,0.8262594745984677,-0.4025296896373204,-0.3683575371906977,0.13151524710449441,0.20935271272086028,-0.16223915823996024,0.456378223261768,0.4640397220110578,0.6465686436123909,0.34856798022878693,0.29600452701871505,0.4742012299302849,Bens Industriais,False
GGPS3,-0.4497426394902275,-0.0522461785668974,-0.08980664217443549,0.07906490703186342,-1.3014584243186553,-1.0730261947905018,-1.0987192117097273,0.3348491382660264,0.06591320347128247,0.3866837555762011,-0.5026575628497914,0.744631563696399,0.1852603344071641,0.030315784104341405,0.558845102213549,-0.2695794332656418,-0.49112026376338364,0.050451038021878364,-0.4033869342670222,0.44350754334047804,1.822467910967078,1.143415406018463,-0.3638956959019733,-0.33378107482399594,-0.4675665476172676,-3.0565008349629883,Bens Industriais,False
LOGN3,,-0.5663989254666972,-0.011482936349620602,0.14504658910423393,-1.2169178375700034,-0.7816262218299218,-1.070676246772947,0.17028055583030136,0.2746161846485667,-0.839785540737384,0.03799915641929581,0.4128460069628598,0.5548181114644827,0.317816935916537,-1.3512575576787254,-0.6142419462291876,-0.809471063180688,-0.7269339413857719,-0.4033869342670222,0.44350754334047804,0.42177615417095465,0.10638761913215919,0.772679144540208,0.6154868752935521,0.021902089969900517,-0.12471329496250734,Bens Industriais,False
MILS3,-0.18338238511647945,0.624824848374646,0.5095399763111045,0.3429916353213457,1.4170410412634054,0.44187243814765736,0.9079107237665502,-0.4983875791190661,-0.6691645532416294,-0.09682817854742366,-0.2999112931238837,-0.07610112927604012,0.17574637715387834,0.35938336750384237,1.800411831143527,-0.21539117711415207,-0.060410358669383615,-0.6001412041027061,0.3625376244678311,-0.38939417133262494,-0.7892962640075121,1.3328567025205278,,0.061579995309528256,0.29600452701871505,1.221162041875228,Bens Industriais,False
MOTV3,-0.48556887253464975,0.624824848374646,0.47889156968400304,0.5786404998655262,0.3368314178902673,0.5651753702875595,0.3610729074993347,-0.7287835945290814,-0.5731242433193393,-1.1935747608278413,0.5516230397249284,0.24695322859609026,0.21573472873409505,0.560287786842485,0.10042046383940322,-0.16183301696442365,-0.5493805407809296,-0.13454164424357865,-0.7097567577609637,0.6706625564331428,-1.0661128167340188,-0.8832798436286279,-0.6929208374204133,0.16794617153834449,0.6092644550745027,-0.0607842164627149,Bens Industriais,True
POMO3,2.3928664564848607,0.9382597964184541,0.6321336028195105,0.3712694990666473,-0.7107977800249188,-0.6738106144998625,0.34393554003796906,-0.5850026225062899,-0.9739078443412035,0.7168870276606278,-0.6648545786305174,0.8406747511718972,0.16682704222892294,0.14808734026837334,0.13862251703724873,0.41659511265264204,1.1151988025775246,-0.14493449156186253,0.8986848155822287,-0.9194225352155083,1.0792154668964078,-1.0041303258799452,0.19143300116613365,-0.6127414238014572,-0.11514912855450632,0.3766252680095491,Bens Industriais,False
POMO4,2.174918346590272,0.915352123430075,0.5912690606500418,0.3241397261578112,-0.7107977800249188,-0.6738106144998625,0.34393554003796906,-0.5209074903997444,-0.9739078443412035,0.7168870276606278,-0.6648545786305174,0.7970187568648525,0.16950284270640958,0.09959317008318376,0.13862251703724873,0.41659511265264204,1.1151988025775246,-0.14493449156186253,0.8986848155822287,-0.9194225352155083,1.0792154668964078,-1.0041303258799452,0.19143300116613365,-0.6127414238014572,-0.11514912855450632,0.41363683977258686,Bens Industriais,True
