date,VULC3,BBDC3,ISAE4,POMO3,UNIP6,TAEE11,LAVV3,ITSA4,RDOR3,VIVA3
2020-12-15,4.63482761383,12.9465341568,17.9364395142,1.226734519,19.7240409851,19.6806221008,5.15753269196,5.76985836029,55.2864151001,23.6681308746
2020-12-16,4.70426464081,13.2502584457,17.9551029205,1.26824057102,20.0774993896,19.6555614471,5.12447166443,5.8501367569,55.8343734741,23.9644298553
2020-12-17,4.7274107933,13.4183921814,17.8510150909,1.26362872124,20.2651443481,19.6143913269,5.0914106369,5.85515546799,57.9515113831,25.0778026581
2020-12-18,4.65218687057,13.3153457642,17.7741203308,1.25901675224,20.1211338043,19.4849967957,5.1189622879,5.79996395111,56.7144432068,24.8084392548
2020-12-21,4.54224681854,12.9899148941,17.5947170258,1.24518156052,19.457857132,19.3850135803,5.15753269196,5.70965385437,54.946018219,24.108089447
2020-12-22,4.44966840744,13.1960248947,17.6459732056,1.20367527008,20.4178714752,19.3850135803,5.06936979294,5.71968841553,55.8758926392,24.4762229919
2020-12-23,4.54803466797,13.478055954,17.8125667572,1.21761786938,20.5313282013,19.3791389465,5.04181909561,5.85515546799,56.5733032227,24.8263931274
2020-12-28,4.52488803864,13.5919647217,17.9343090057,1.22691309452,20.7233333588,19.7790737152,5.06936979294,5.92037963867,56.4570617676,25.0329036713
2020-12-29,4.57117891312,13.5906019211,18.1777896881,1.25479722023,20.5182418823,19.7437820435,5.06936979294,5.95549964905,56.4570617676,25.4369506836
2020-12-30,4.623254776,13.3262796402,17.8189735413,1.26409244537,22.3379154205,19.6437969208,5.06386041641,5.88525819778,56.7061462402,26.5507526398
2021-01-04,4.57696676254,12.9958715439,17.7741203308,1.25479722023,23.2368431091,19.4085388184,5.03630971909,5.79494810104,54.7965698242,25.622467041
2021-01-05,4.51910305023,12.9337348938,17.6587905884,1.23620760441,23.3808441162,19.4438304901,4.95365715027,5.74979257584,54.1569633484,24.4238090515
2021-01-06,4.4901714325,13.2588710785,17.5498638153,1.24085521698,23.5946655273,19.4791183472,4.73325014114,5.86519050598,51.9108161926,23.6847858429
2021-01-07,4.47281265259,13.5840044022,17.242307663,1.26409244537,24.4281387329,18.908624649,4.69467782974,6.10100221634,50.7045631409,23.7208366394
2021-01-08,4.57117891312,13.4793024063,17.927898407,1.31986129284,23.537935257,19.3203220367,4.81590127945,6.0859503746,51.7693977356,23.88306427
2021-01-11,4.52488803864,13.2753982544,17.6139373779,1.3709821701,23.6339359283,19.2321014404,4.62855482101,5.94546747208,50.9458084106,23.1530513763
2021-01-12,4.51331663132,13.280916214,18.0688648224,1.3709821701,23.3633842468,19.5144042969,4.79386138916,5.99062299728,53.3832969666,24.540971756
2021-01-13,4.55382013321,13.0329303741,18.1073112488,1.38027727604,23.0622901917,19.8908176422,4.89304351807,5.93041372299,55.1968307495,23.88306427
2021-01-14,4.73319673538,13.4462356567,18.0944900513,1.422103405,23.6775760651,19.8555240631,4.99773788452,6.06086444855,55.8207550049,24.3156585693
2021-01-15,4.62904262543,12.9502725601,18.0240135193,1.38492405415,23.542301178,19.8555240631,4.82692289352,5.82505178452,56.0703430176,23.9731884003
2021-01-18,4.69847869873,13.0053787231,17.9855690002,1.36633467674,22.4644584656,19.673204422,4.71120882034,5.83508348465,55.9455528259,24.2435569763
2021-01-19,4.67533397675,12.7628993988,17.9214916229,1.32450795174,21.7749900818,19.7790737152,4.67263650894,5.74477434158,56.4862937927,24.0633106232
2021-01-20,4.69847869873,12.5094060898,17.6395683289,1.32450795174,22.7350120544,19.5379314423,4.72773981094,5.65446233749,56.5694770813,23.8470096588
2021-01-21,4.6174697876,12.2834653854,17.4986019135,1.25479722023,22.2375431061,19.3085575104,4.59549474716,5.5390663147,56.5029258728,23.3603382111
2021-01-22,4.6637597084,12.0795650482,17.3640499115,1.23620760441,22.1808166504,18.9792003632,4.57896471024,5.45878982544,55.9871559143,23.3693504333
2021-01-26,4.80841827393,11.8205661774,17.2487182617,1.25479722023,22.9182796478,18.949798584,4.47978019714,5.3385477066,55.2301292419,22.9097118378
2021-01-27,4.76791477203,11.919757843,17.3192024231,1.2826820612,21.9582710266,19.0262489319,4.50182104111,5.30335903168,53.150352478,22.9818115234
2021-01-28,4.83734989166,12.2889795303,17.2551269531,1.33380305767,22.2724552155,19.0438976288,4.5624332428,5.51448917389,54.0820846558,23.7298488617
2021-01-29,4.7274107933,11.9252672195,16.8834972382,1.25944471359,21.8186302185,19.1438789368,4.54590272903,5.33352041245,54.6561050415,22.9637870789
2021-02-01,5.05722904205,12.1787624359,17.0821285248,1.27803432941,23.0099239349,19.1909313202,4.61753463745,5.42400455475,56.4031066895,23.2071266174
2021-02-02,5.07458686829,12.1551876068,16.8770866394,1.29662382603,24.2797698975,19.5261688232,4.68916845322,5.43405675888,57.0270423889,23.2882385254
2021-02-03,5.13245201111,12.2323913574,16.9860153198,1.31056594849,25.6805267334,19.6085090637,4.64508581161,5.43908596039,59.0652008057,23.6126861572
2021-02-04,5.12087965012,12.6074142456,16.6784553528,1.29662382603,25.2747058868,19.396780014,4.65610647202,5.43908596039,61.0617713928,24.0813350677
2021-02-05,5.12666273117,12.5246925354,16.7040901184,1.25944471359,25.6194343567,19.4849967957,4.57896471024,5.40892457962,62.3096199036,24.387758255
2021-02-08,5.0514421463,12.298579216,16.6400146484,1.25944471359,25.1045093536,19.2909126282,4.51835203171,5.32849264145,61.1449699402,24.0633106232
2021-02-09,4.98779392242,12.414390564,16.5118694305,1.23156011105,24.7815990448,19.2967967987,4.567943573,5.37373495102,61.7688827515,24.3607234955
2021-02-10,4.83734989166,12.2930574417,16.3645000458,1.22226548195,23.7168464661,19.1438789368,4.567943573,5.3385477066,60.3962593079,23.7929363251
2021-02-11,4.87785482407,12.3261508942,16.2427558899,1.23156011105,23.8870353699,19.1203517914,4.51835203171,5.34860181808,60.1965904236,23.1350269318
2021-02-12,4.80263185501,12.3537302017,16.1786804199,1.22226548195,23.4332046509,19.07330513,4.52937221527,5.32849264145,61.3945274353,23.4504623413
2021-02-17,4.84892272949,12.2268800735,15.9223871231,1.20832300186,24.681230545,19.0144901276,4.35855579376,5.29833173752,61.2946929932,23.2702102661
2021-02-18,4.76212644577,12.0610780716,16.0184993744,1.18973338604,24.6463222504,18.7968788147,4.24835300446,5.20282077789,59.897102356,23.1079921722
