TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
POMO3,2.47,4.89,98.0,222.76,14.64,26.41,124.76,11.77,2.17,87.95,35.34,1267,56.00646435625786
PSSA3,26.9,55.45,106.13,166.82,15.57,21.69,60.69,6.12,8.91,33.12,25.54,1267,36.38052991248052
CXSE3,13.02,22.42,72.2,155.95,11.48,20.68,83.75,9.2,4.93,37.85,26.74,1267,53.7031099711446
LAVV3,8.8,10.33,17.39,110.53,3.26,16.05,93.14,12.8,5.61,63.79,36.74,1267,84.26671491902651
JHSF3,7.84,11.41,45.54,109.98,7.79,15.99,64.44,8.2,2.04,26.0,39.12,1267,58.592471358428796
TAEE3,12.82,13.55,5.69,66.99,1.11,10.8,61.29,9.69,5.84,45.55,17.53,1267,91.49126735333633
MBRF3,18.85,16.03,-14.97,36.62,-3.19,6.44,51.59,9.63,7.7,40.87,47.61,1267,100.0
BMOB3,22.2,23.56,6.13,35.57,1.2,6.28,29.44,5.08,4.43,19.96,36.6,1267,82.76637615968512
PFRM3,6.99,6.65,-4.86,32.43,-0.99,5.78,37.29,6.77,2.05,29.31,38.35,1267,100.0
UNIP3,85.02,58.11,-31.65,20.73,-7.33,3.84,52.38,11.17,38.1,44.81,29.69,1267,100.0
FIQE3,8.16,5.65,-30.73,-4.08,-7.08,-0.83,26.64,6.25,1.33,16.36,41.34,1243,0.0
SIMH3,27.5,7.31,-73.41,-70.27,-23.28,-21.54,3.15,1.74,1.84,6.68,53.74,1267,0.0
AZZA3,94.3,17.81,-81.11,-77.21,-28.35,-25.6,3.91,2.75,8.26,8.76,42.64,1267,0.0
