horizon,train_start,train_end,test_start,test_end,feasible,brazilian_stocks,fiis,international_equity,fixed_income,crypto
primary,2020-12-15,2023-12-15,2023-12-18,2024-12-13,True,0.37,0.13,0.13,0.2,0.17
robustness,2021-07-21,2024-07-19,2024-07-22,2025-07-21,True,0.2,0.05,0.2,0.35,0.2
