TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
UNIP6,2.5,58.19,2227.6,8468.21,36.99,56.06,6240.61,19.07,51.64,2065.6,40.99,2508,73.69455882648164
VULC3,1.89,19.91,950.99,1692.13,26.52,33.46,741.14,6.94,9.84,519.41,55.92,2508,43.79923528334111
ISAE4,10.45,26.9,157.42,1076.86,9.92,27.96,919.44,18.04,30.01,287.14,27.69,2497,85.38157234923762
JHSF3,1.24,7.84,532.26,867.53,20.25,25.48,335.27,5.23,2.11,170.39,49.11,2508,38.64650213825458
POMO4,1.65,5.88,255.55,503.5,13.52,19.69,247.94,6.17,2.42,146.47,41.96,2508,49.24329692154916
ITSA4,4.66,11.63,149.43,432.3,9.57,18.2,282.87,8.63,6.56,140.77,27.94,2508,65.43372657876475
ITSA3,4.67,12.11,159.12,431.4,9.99,18.18,272.27,8.19,6.42,137.44,25.59,2508,63.1131200741771
BBAS3,8.62,21.68,151.36,374.65,9.66,16.85,223.29,7.2,12.53,145.3,38.62,2508,59.59962631789671
CXSE3,10.01,16.54,65.23,135.99,5.15,8.97,70.75,3.82,4.25,42.42,27.67,1168,52.02588425619531
ODPV3,9.29,11.2,20.55,89.1,1.89,6.58,68.55,4.69,5.22,56.18,31.76,2508,76.93602693602693
