date,portfolio,ifix
2022-03-15,10000.0,9589.030423435006
2022-03-16,9962.884397429922,9598.060776043714
2022-03-17,9955.332685074354,9591.686409496391
2022-03-18,9879.56367803016,9629.436824715545
2022-03-21,9874.640368481298,9632.907313169088
2022-03-22,9880.009540639097,9669.630747111172
2022-03-23,9888.680546309975,9684.043898137623
2022-03-24,9899.400250101027,9677.279986967962
2022-03-25,9999.380481035505,9732.489083897288
2022-03-28,10020.10087335157,9732.453670749803
2022-03-29,10048.555313722947,9781.288401131804
2022-03-30,10077.41502657203,9817.126506386761
2022-03-31,10141.296934626454,9844.748761425166
2022-04-01,10354.652531376609,9911.11299981231
2022-04-04,10408.450022938663,9941.143348879705
2022-04-05,10328.68853253887,9935.512658429569
2022-04-06,10363.550082737549,9929.45701020961
2022-04-07,10386.846423209485,9934.62732974244
2022-04-08,10379.253331617332,9946.951105067268
2022-04-11,10369.33902093203,9942.524461631625
2022-04-12,10388.009932113562,9947.44688913206
2022-04-13,10380.032819928134,9928.394615785057
2022-04-14,10397.25649960037,9946.13660267511
2022-04-18,10389.86572329442,9922.445207007553
2022-04-19,10419.348554264616,9934.733569184897
2022-04-20,10454.300119168098,9944.755489923189
2022-04-22,10441.146706392523,9952.121424600096
2022-04-25,10471.851174395779,9934.4856771525
2022-04-26,10446.469170048815,9922.728512187434
2022-04-27,10481.785976408657,9919.930873536108
2022-04-28,10523.274428918203,9932.785846073213
2022-04-29,10541.073604794788,9961.93086645348
2022-05-02,10455.672611193175,9909.165276700627
2022-05-03,10460.967056380072,9897.585177472989
2022-05-04,10449.966717587818,9872.866800528363
2022-05-05,10418.041613787173,9853.566635148965
2022-05-06,10360.176362759164,9842.588559428574
2022-05-09,10299.748295475601,9808.733590432785
2022-05-10,10291.13352965481,9802.784181655281
2022-05-11,10237.712160258623,9787.698180826614
2022-05-12,10245.05274661693,9759.11977080611
2022-05-13,10304.533795638577,9816.064111962207
2022-05-16,10258.517338143267,9804.590252177024
2022-05-17,10242.511293555213,9832.885357017647
2022-05-18,10269.837044997177,9835.860061406398
2022-05-19,10267.770295851069,9841.88029647887
2022-05-20,10298.689204327207,9861.03880926833
2022-05-23,10300.730537508764,9878.037120061193
2022-05-24,10270.403237940298,9884.163594576123
2022-05-25,10279.45238210905,9891.52952925303
2022-05-26,10293.405108111589,9900.4182292718
2022-05-27,10336.932154170177,9938.770667998202
2022-05-30,10369.738555241167,9960.372687964133
2022-05-31,10394.35859474723,9988.101182444994
2022-06-01,10371.77269204219,9997.414840233585
2022-06-02,10380.776107408352,10008.640807986372
2022-06-03,10302.916061650725,10022.841480127912
2022-06-06,10190.80785311252,10019.406404821853
2022-06-07,10134.189357249337,10003.753793633423
2022-06-08,10111.132333808035,9996.423272104003
2022-06-09,10124.330798901847,9978.681285213948
2022-06-10,10071.5270693489,9963.984829007617
2022-06-13,10006.88322212015,9924.676235299117
2022-06-14,9973.255269449084,9920.178765568504
2022-06-15,9958.348475699022,9931.192254436382
2022-06-17,9936.294847179264,9922.834751629889
2022-06-20,9996.25253008841,9955.52108675867
