horizon,train_start,train_end,test_start,test_end,feasible,brazilian_stocks,fiis,international_equity,fixed_income,crypto
primary,2021-07-29,2024-07-29,2024-07-30,2025-07-29,True,0.05,0.05,0.15,0.7,0.05
robustness,2021-07-29,2024-07-29,2024-07-30,2025-07-29,True,0.05,0.05,0.15,0.7,0.05
