TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
BBFI11,2400.0,629.0,-73.79,8732.56,-12.53,56.53,8806.35,69.07,1936.27,80.68,3334.0,2510
XPML11,103.48,103.62,0.13,1029.32,0.01,27.43,1029.19,27.42,45.35,43.83,30691.2,1540
MXRF11,8.86,9.44,6.6,84.16,0.64,6.3,77.56,5.66,5.43,61.31,12.81,2510
HGRU11,110.0,116.28,5.71,59.38,0.56,4.77,53.68,4.22,51.35,46.68,16.26,1996
APTO11,10.5,8.04,-23.43,32.62,-2.63,2.86,56.05,5.5,4.99,47.52,18.71,1101
VCRR11,80.0,53.5,-33.13,6.32,-3.94,0.61,39.45,4.56,31.83,39.79,23.14,1118
RBRF11,9.9,6.65,-32.83,3.54,-3.9,0.35,36.37,4.25,3.07,31.01,20.55,2199
HFOF11,10.0,6.1,-39.0,-2.62,-4.82,-0.26,36.38,4.56,3.19,31.94,13.75,2099
PVBI11,103.51,65.5,-36.72,-23.04,-4.47,-2.58,13.68,1.89,16.15,15.6,18.83,632
BRCR11,88.16,39.68,-54.99,-25.72,-7.67,-2.93,29.27,4.74,27.32,30.99,16.59,2510
RBOP11,780.0,225.94,-71.03,-50.02,-11.65,-6.7,21.02,4.95,230.34,29.53,32.83,2510
