date,portfolio,ifix
2020-06-04,10000.0,16518.520747449824
2020-06-05,10134.690030061714,16687.208497577707
2020-06-08,10253.509652508055,16811.72328709415
2020-06-09,10302.3815898567,16805.2839045527
2020-06-10,10329.643998629475,16846.98943820901
2020-06-12,10209.942009069278,16742.514970059878
2020-06-15,10137.601990004485,16717.238889056058
2020-06-16,10195.359928459215,16751.361598411215
2020-06-17,10190.772384277028,16784.942677459152
2020-06-18,10190.903598844741,16818.64411879758
2020-06-19,10217.929806597585,16874.85330845846
2020-06-22,10083.972529593426,16805.103361116962
2020-06-23,10095.23843217226,16811.663105948905
2020-06-24,10110.430404389474,16770.800108326057
2020-06-25,10139.043984692278,16808.894773267537
2020-06-26,10077.524860015707,16792.826407486533
2020-06-29,10084.751532029111,16773.929527878914
2020-06-30,10169.283543741225,16888.514428429575
2020-07-01,10147.344618378358,16947.251226190834
2020-07-02,10184.271313687172,16929.858875214395
2020-07-03,10195.164108736139,16929.919056359642
2020-07-06,10188.116664706014,16865.224325218907
2020-07-07,10165.08598656789,16840.670417958052
2020-07-08,10098.700587978416,16727.830770619563
2020-07-09,9991.404290174714,16646.706586826345
2020-07-10,9849.850011167304,16651.581259591367
2020-07-13,9739.17982702496,16556.91631811753
2020-07-14,9729.109912604259,16505.882706947912
2020-07-15,9862.218478114473,16527.126651220173
2020-07-16,9911.168813541211,16510.336111696204
2020-07-17,9960.983477556387,16499.50350555171
2020-07-20,9868.521934811639,16396.41320374327
2020-07-21,9916.755184213125,16442.63232329311
2020-07-22,10011.424450013277,16463.69572412963
2020-07-23,9970.458595272848,16446.54409773418
2020-07-24,9986.470868494109,16434.989317846717
2020-07-27,9966.368081883873,16385.941684470254
2020-07-28,9987.112471632994,16385.58059759877
2020-07-29,9948.381008788061,16388.770198296872
2020-07-30,9971.642496889675,16451.418770499204
2020-07-31,9981.532139341909,16448.2291698011
2020-08-03,9842.097578708994,16334.78771101014
2020-08-04,9818.388253698478,16334.908073300634
2020-08-05,9872.954717299088,16372.400926789636
2020-08-06,9813.449713415048,16323.834742575149
2020-08-07,9845.585217283064,16444.13685192429
2020-08-10,9904.293930476064,16523.756507086327
2020-08-11,9875.568448380036,16522.01125387416
2020-08-12,9824.569109178638,16494.267745915204
2020-08-13,9805.756732082074,16535.130743538048
2020-08-14,9807.579136348102,16583.937652333523
2020-08-17,9783.77828470495,16541.38958264376
2020-08-18,9843.441246790746,16581.41004423314
2020-08-19,9814.281588207083,16600.72819185749
2020-08-20,9830.035925698252,16614.69021755484
2020-08-21,9841.935906739523,16674.149189059066
2020-08-24,9891.45668820573,16731.441639334396
2020-08-25,9888.412879140158,16714.711280955675
2020-08-26,9863.445872758324,16710.31805735263
2020-08-27,9912.460697181034,16717.539794782293
2020-08-28,9916.258077106864,16741.43170944543
2020-08-31,9891.176363541701,16742.996419221858
2020-09-01,9890.29388070503,16698.22164715794
2020-09-02,9948.404202594396,16746.54710679144
2020-09-03,9967.437951252861,16728.07149520055
2020-09-04,10000.949416105084,16784.641771732917
2020-09-08,10004.97829986927,16771.40191977853
2020-09-09,9978.028393059712,16781.692895615804
2020-09-10,9978.451572876906,16808.654048686545
2020-09-11,9965.868648488682,16801.372130111635
2020-09-14,9952.334211193947,16807.149520055365
2020-09-15,10020.280332866043,16863.90034002347
2020-09-16,10017.31565996861,16867.33066530256
2020-09-17,10013.624269122116,16850.96139379532
2020-09-18,10013.441200761583,16837.60117955045
2020-09-21,9967.092568390037,16774.110071314655
2020-09-22,9997.423362145604,16783.377967682725
2020-09-23,9977.831898814338,16791.68296572684
2020-09-24,9985.863123303325,16787.95173472151
2020-09-25,9950.121461121124,16779.16528751542
2020-09-28,9915.884819048948,16743.477868383834
2020-09-29,9922.736187381837,16755.634459723766
2020-09-30,9943.04858226015,16819.90792284777
2020-10-01,9878.576104315514,16785.42412662113
2020-10-02,9885.790415294843,16820.088466283512
2020-10-05,9871.210851648317,16782.354888213522
2020-10-06,9903.528287385268,16820.931002316975
2020-10-07,9887.686544331606,16846.32744561129
2020-10-08,9922.793129543375,16879.487256642493
2020-10-09,9929.862643932953,16897.481419071402
2020-10-13,9939.993738837897,16900.49047633376
2020-10-14,9939.372670605364,16909.3371046851
2020-10-15,9960.3667784451,16927.030361387777
2020-10-16,9992.256303174834,16952.00553666536
2020-10-19,10032.906985442993,16959.648542111758
2020-10-20,10058.897455712258,16993.65088917642
2020-10-21,10047.519925960496,17023.74146180002
2020-10-22,10039.195473276824,17013.14958023651
2020-10-23,10045.120640101217,16973.7309300996
2020-10-26,10007.37082149993,16910.05927842807
2020-10-27,9927.887198754916,16868.83519393374
2020-10-28,9787.490284828753,16687.750127884934
2020-10-29,9788.473497478004,16697.74019799597
2020-10-30,9781.42478943959,16650.67854241266
2020-11-03,9711.447127227386,16649.41473836247
2020-11-04,9719.895005568715,16685.1623386393
2020-11-05,9746.678410306686,16766.406884723012
2020-11-06,9637.224522627255,16820.81064002648
2020-11-09,9650.694779533034,16868.474107062255
2020-11-10,9661.636031508402,16893.75018806608
2020-11-11,9659.534495815915,16890.801311948962
2020-11-12,9631.673470780328,16858.303493515483
2020-11-13,9605.470226068073,16871.18225859838
2020-11-16,9601.54283170924,16868.113020190773
2020-11-17,9623.368969830139,16867.631571028796
2020-11-18,9621.026874941672,16856.076791141335
2020-11-19,9580.26183528184,16819.366292540544
2020-11-23,9586.270564146373,16832.245057623444
2020-11-24,9550.808668196698,16829.717449523065
2020-11-25,9577.10757864905,16847.711611951974
2020-11-26,9582.037326975684,16853.00755273373
2020-11-27,9619.51944500531,16920.109529684352
2020-11-30,9592.451331610388,16902.23572954593
2020-12-01,9486.632752485435,16871.8442511961
2020-12-02,9470.02504228233,16837.059549243222
2020-12-03,9456.17710859547,16854.45190021966
2020-12-04,9464.704277051325,16815.695242680467
2020-12-07,9425.080458350763,16749.857069780035
2020-12-08,9418.688620681613,16730.358378719946
2020-12-09,9379.597735153788,16674.149189059066
2020-12-10,9365.888164125952,16655.61339632293
2020-12-11,9360.372066859407,16662.173141154875
2020-12-14,9313.868351693258,16618.48162970541
2020-12-15,9302.29317907371,16654.710679144224
2020-12-16,9277.210497643875,16674.028826768572
2020-12-17,9281.369727631234,16704.961935425632
2020-12-18,9310.888577220852,16817.199771311647
2020-12-21,9301.713913088744,16817.98212619986
2020-12-22,9357.594868964869,16893.75018806608
2020-12-23,9427.836887699163,17021.875846297353
2020-12-28,9396.459227763118,17059.188156350614
2020-12-29,9488.31072440657,17181.95769265489
2020-12-30,9548.17612459693,17272.8914031234
2021-01-04,9544.075165725484,17256.76285619715
2021-01-05,9574.882885769359,17257.123943068636
2021-01-06,9560.1869265978,17270.423976168262
2021-01-07,9554.666491012113,17232.931122679263
2021-01-08,9581.263525381564,17256.34158818042
2021-01-11,9554.93398420188,17234.676375891435
2021-01-12,9547.457154325113,17184.54548190052
2021-01-13,9530.296606009348,17162.820088466284
2021-01-14,9522.192763108033,17181.656786928655
2021-01-15,9505.040530152157,17199.410224776577
2021-01-18,9514.249000218177,17213.071344747692
2021-01-19,9549.404025835684,17249.721662203232
2021-01-20,9562.636772545948,17273.252489994884
2021-01-21,9542.15161987318,17275.599554659526
2021-01-22,9518.216207441335,17229.681340835916
2021-01-26,9525.503154494829,17222.279059970508
2021-01-27,9521.924431993775,17218.908915836666
2021-01-28,9519.488644764671,17284.987813318083
2021-01-29,9569.967706709564,17328.85986820329
2021-02-01,9542.1278960974,17301.537628261063
2021-02-02,9516.801246820203,17336.38251135919
2021-02-03,9531.019493531512,17343.243161917373
2021-02-04,9534.702824231943,17351.548159961483
2021-02-05,9570.216215999764,17421.177745012486
2021-02-08,9553.535059816842,17405.53064724822
2021-02-09,9531.656110541293,17404.989016940992
2021-02-10,9490.611942087437,17405.350103812474
2021-02-11,9469.892587826374,17416.303072247465
2021-02-12,9462.970360923238,17435.92212559805
2021-02-17,9453.931759321118,17424.848794872563
2021-02-18,9406.574134927825,17396.984924623113
2021-02-19,9405.11855485898,17416.242891102214
2021-02-22,9351.149857844293,17301.597809406314
2021-02-23,9371.206764031494,17394.93876568471
2021-02-24,9341.172515245566,17404.387205488518
2021-02-25,9352.714828706978,17415.219811633015
2021-02-26,9313.382290581354,17371.468119038305
2021-03-01,9130.833424581613,17315.439472813167
2021-03-02,9111.674982094668,17204.645984413084
2021-03-03,9095.618338524568,17144.103752294406
2021-03-04,9119.71492419437,17137.724550898205
2021-03-05,9146.145164452768,17167.754942376552
2021-03-08,9091.138597654872,17124.06343092709
2021-03-09,9082.095391595232,17107.99506514609
2021-03-10,9027.603090212542,17053.109860680648
2021-03-11,9034.660509877616,17073.691812355188
2021-03-12,9014.510007062487,17080.9737309301
2021-03-15,9034.016145364998,17036.860951463903
2021-03-16,9016.652730831716,16988.836397556643
2021-03-17,9017.620105474012,16954.232239039506
2021-03-18,8980.546288590083,16903.138446724643
2021-03-19,8991.854111275366,16965.90738121746
2021-03-22,8992.679180050796,16944.242168928475
2021-03-23,8996.742409237886,16934.733547979416
2021-03-24,9005.219844569676,16938.645322420485
2021-03-25,8992.987518248325,16933.770649655464
2021-03-26,9007.809868629929,16957.241296301865
2021-03-29,9002.890129271242,16964.463033731532
2021-03-30,9046.0562772123,17042.156892245657
2021-03-31,9081.884562381501,17132.187885535463
2021-04-01,9063.408205918822,17151.68657659555
2021-04-05,9066.681899350675,17137.423645171966
2021-04-06,9110.827862966158,17115.397346011494
2021-04-07,9119.476996701276,17111.305028134684
2021-04-08,9119.857207031355,17107.032166822133
2021-04-09,9128.85206761788,17147.353534137754
2021-04-12,9136.260515158903,17121.596003971954
2021-04-13,9110.561489813757,17111.726296151413
2021-04-14,9138.273527862179,17094.69503204646
2021-04-15,9151.019796789637,17112.56883218488
2021-04-16,9145.684081738393,17136.159841121775
2021-04-19,9170.701090427454,17096.259741822887
2021-04-20,9189.632010165169,17103.00003009057
2021-04-22,9186.908091169558,17086.99184545482
2021-04-23,9249.4502913441,17119.309120452563
2021-04-26,9268.528415302033,17118.406403273853
2021-04-27,9257.0133176846,17123.702344055608
2021-04-28,9201.491707630674,17105.82854391719
2021-04-29,9220.889172809444,17145.668462070833
2021-04-30,9274.895343684475,17218.728372400925
2021-05-03,9190.902828812372,17226.431558992565
2021-05-04,9213.177944095904,17189.059067794056
2021-05-05,9213.75259882094,17182.017873800138
2021-05-06,9203.406930607453,17183.402040140823
