run_id,seed,tickers,fitness,hhi,score_median,score_mean,score_std,sectors,generations_run,converged_early
12,54,"['ABEV3', 'CSMG3', 'ECOR3', 'FLRY3', 'ITSA4', 'JBSS3', 'MULT3', 'SANB11', 'UGPA3', 'VBBR3']",3.9542865602362838,0.20000000000000004,0.055729527072086144,0.09313192109257049,0.2754669094050236,"{'Financeiro e Outros': 3, 'Consumo não Cíclico': 2, 'Petróleo, Gás e Biocombustíveis': 2, 'Saúde': 1, 'Bens Industriais': 1, 'Utilidade Pública': 1}",85,True
13,55,"['CURY3', 'CXSE3', 'HYPE3', 'ISAE4', 'PETR3', 'PETR4', 'POMO4', 'SULA11', 'SUZB3', 'TTEN3']",3.98041844978318,0.14,0.22569955365613187,0.2643022577902012,0.3554782070800367,"{'Financeiro e Outros': 2, 'Petróleo, Gás e Biocombustíveis': 2, 'Utilidade Pública': 1, 'Bens Industriais': 1, 'Consumo Cíclico': 1, 'Consumo não Cíclico': 1, 'Saúde': 1, 'Materiais Básicos': 1}",56,True
14,56,"['AESB3', 'BBDC3', 'BEEF3', 'BPAN4', 'COGN3', 'CURY3', 'ITSA3', 'POMO3', 'UGPA3', 'WEGE3']",4.027956861454866,0.20000000000000004,0.2328444863578634,0.20746735995245735,0.376383575214718,"{'Financeiro e Outros': 3, 'Bens Industriais': 2, 'Consumo Cíclico': 2, 'Petróleo, Gás e Biocombustíveis': 1, 'Consumo não Cíclico': 1, 'Utilidade Pública': 1}",77,True
15,57,"['B3SA3', 'BBDC4', 'CMIG4', 'CSMG3', 'ECOR3', 'FLRY3', 'ITSA3', 'KLBN11', 'PETR4', 'UNIP6']",4.092464595204657,0.20000000000000004,0.22722728723797875,0.27872943000452544,0.3062751639883764,"{'Financeiro e Outros': 3, 'Materiais Básicos': 2, 'Utilidade Pública': 2, 'Saúde': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Bens Industriais': 1}",92,True
16,58,"['ALPA4', 'CMIN3', 'CURY3', 'ITSA4', 'MBRF3', 'MOTV3', 'MULT3', 'POMO3', 'STBP3', 'TAEE4']",4.110171176325631,0.20000000000000004,0.2773662125259361,0.25162869253989995,0.288231931202966,"{'Bens Industriais': 3, 'Financeiro e Outros': 2, 'Consumo Cíclico': 2, 'Utilidade Pública': 1, 'Consumo não Cíclico': 1, 'Materiais Básicos': 1}",95,True
17,59,"['DIRR3', 'GMAT3', 'ITSA3', 'ITUB4', 'PSSA3', 'RENT3', 'SMTO3', 'STBP3', 'USIM3', 'VULC3']",3.7562984593337134,0.24000000000000002,0.3140014062628904,0.2651954369876941,0.35184183098406674,"{'Consumo Cíclico': 3, 'Financeiro e Outros': 3, 'Consumo não Cíclico': 2, 'Bens Industriais': 1, 'Materiais Básicos': 1}",79,True
18,60,"['ALOS3', 'BBAS3', 'CRFB3', 'EQTL3', 'GOAU4', 'IGTI11', 'PETR3', 'POMO3', 'TAEE11', 'UGPA3']",4.340440159804614,0.20000000000000004,0.046890512605994375,0.1377960521675473,0.260337267329879,"{'Financeiro e Outros': 3, 'Utilidade Pública': 2, 'Petróleo, Gás e Biocombustíveis': 2, 'Bens Industriais': 1, 'Materiais Básicos': 1, 'Consumo não Cíclico': 1}",111,True
19,61,"['CSNA3', 'EQTL3', 'FLRY3', 'ITSA3', 'ITSA4', 'NATU3', 'POMO4', 'RAIL3', 'TAEE4', 'VBBR3']",3.9790252203610423,0.16000000000000006,0.42068968700104814,0.2511722633163384,0.4291612330481641,"{'Financeiro e Outros': 2, 'Utilidade Pública': 2, 'Bens Industriais': 2, 'Saúde': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Consumo não Cíclico': 1, 'Materiais Básicos': 1}",52,True
20,62,"['BRAV3', 'ISAE4', 'MGLU3', 'NATU3', 'STBP3', 'SULA11', 'TTEN3', 'UNIP6', 'USIM3', 'VULC3']",4.127188266772105,0.16000000000000006,0.5455578273916933,0.4381768485062351,0.4732577111843775,"{'Consumo Cíclico': 2, 'Materiais Básicos': 2, 'Consumo não Cíclico': 2, 'Utilidade Pública': 1, 'Bens Industriais': 1, 'Financeiro e Outros': 1, 'Petróleo, Gás e Biocombustíveis': 1}",111,True
21,63,"['BBDC4', 'DIRR3', 'GMAT3', 'IGTI11', 'NEOE3', 'SBSP3', 'SLCE3', 'STBP3', 'SUZB3', 'UGPA3']",4.3463787387657735,0.16000000000000006,0.22990493733963038,0.23388036988732017,0.2463023158010325,"{'Financeiro e Outros': 2, 'Consumo não Cíclico': 2, 'Utilidade Pública': 2, 'Consumo Cíclico': 1, 'Bens Industriais': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Materiais Básicos': 1}",68,True
22,64,"['BBAS3', 'BPAC11', 'CSAN3', 'FLRY3', 'ITSA3', 'LREN3', 'MGLU3', 'NTCO3', 'PRIO3', 'VULC3']",4.23588554881099,0.24000000000000002,0.3593624811368991,0.2137104687758158,0.4509550592574069,"{'Consumo Cíclico': 3, 'Financeiro e Outros': 3, 'Petróleo, Gás e Biocombustíveis': 2, 'Saúde': 1, 'Consumo não Cíclico': 1}",74,True
23,65,"['ABEV3', 'DIRR3', 'ISAE4', 'ODPV3', 'POMO3', 'PRIO3', 'RAIZ4', 'TIMS3', 'TTEN3', 'WEGE3']",4.273738032025548,0.16000000000000006,0.23847681071383425,0.34685716884493445,0.27344592177175253,"{'Bens Industriais': 2, 'Consumo não Cíclico': 2, 'Petróleo, Gás e Biocombustíveis': 2, 'Utilidade Pública': 1, 'Consumo Cíclico': 1, 'Saúde': 1, 'Comunicações': 1}",100,True
24,66,"['ABEV3', 'BBDC4', 'CPLE5', 'CURY3', 'CXSE3', 'HYPE3', 'ISAE4', 'MGLU3', 'PETR4', 'TAEE4']",3.9262020158575153,0.20000000000000004,0.2896484396370008,0.23455125226402776,0.4252549315630554,"{'Utilidade Pública': 3, 'Financeiro e Outros': 2, 'Consumo Cíclico': 2, 'Consumo não Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Saúde': 1}",115,True
25,67,"['COGN3', 'CPLE6', 'CSNA3', 'FLRY3', 'GMAT3', 'KLBN4', 'MULT3', 'SAPR11', 'SBSP3', 'SLCE3']",4.35729182805118,0.20000000000000004,0.14805746690862254,0.07177567962724479,0.22938856947677258,"{'Utilidade Pública': 3, 'Consumo não Cíclico': 2, 'Materiais Básicos': 2, 'Saúde': 1, 'Financeiro e Outros': 1, 'Consumo Cíclico': 1}",83,True
26,68,"['BBDC3', 'BRAV3', 'BRKM5', 'CMIG4', 'CYRE3', 'JBSS3', 'RADL3', 'STBP3', 'TIMS3', 'VIVT3']",4.085672236561885,0.12000000000000002,0.19401663088637094,0.23777493175339717,0.24953876056986568,"{'Comunicações': 2, 'Financeiro e Outros': 1, 'Bens Industriais': 1, 'Utilidade Pública': 1, 'Consumo Cíclico': 1, 'Consumo não Cíclico': 1, 'Saúde': 1, 'Materiais Básicos': 1, 'Petróleo, Gás e Biocombustíveis': 1}",138,True
27,69,"['BBDC3', 'BBDC4', 'BPAC11', 'CURY3', 'DIRR3', 'ENAT3', 'JBSS3', 'MOTV3', 'TAEE11', 'VULC3']",4.178055818360908,0.22000000000000003,0.4532924584832526,0.3655428653163324,0.36936797871282595,"{'Consumo Cíclico': 3, 'Financeiro e Outros': 3, 'Utilidade Pública': 1, 'Consumo não Cíclico': 1, 'Bens Industriais': 1, 'Petróleo, Gás e Biocombustíveis': 1}",70,True
28,70,"['BBDC3', 'CPLE5', 'CSAN3', 'CSNA3', 'DIRR3', 'EQTL3', 'GUAR3', 'ISAE4', 'MULT3', 'VULC3']",4.1420191110320825,0.24000000000000002,0.3006749626959376,0.3087696278873854,0.48424531352603234,"{'Utilidade Pública': 3, 'Consumo Cíclico': 3, 'Financeiro e Outros': 2, 'Materiais Básicos': 1, 'Petróleo, Gás e Biocombustíveis': 1}",98,True
29,71,"['ABEV3', 'AURE3', 'CRFB3', 'CXSE3', 'ITSA4', 'LREN3', 'POMO3', 'SMTO3', 'UNIP6', 'VIVA3']",4.568808837872891,0.20000000000000004,0.3205460138484416,0.2148729014478754,0.3968158500968229,"{'Consumo não Cíclico': 3, 'Financeiro e Outros': 2, 'Consumo Cíclico': 2, 'Materiais Básicos': 1, 'Bens Industriais': 1, 'Utilidade Pública': 1}",91,True
30,72,"['BBDC3', 'CSMG3', 'CURY3', 'CXSE3', 'CYRE3', 'ITUB4', 'NATU3', 'STBP3', 'TAEE4', 'VALE3']",4.413613045296367,0.20000000000000004,0.3351877442041966,0.2613400494699958,0.2986256442323493,"{'Financeiro e Outros': 3, 'Utilidade Pública': 2, 'Consumo Cíclico': 2, 'Bens Industriais': 1, 'Materiais Básicos': 1, 'Consumo não Cíclico': 1}",65,True
31,73,"['BBAS3', 'BBDC3', 'CURY3', 'FLRY3', 'ITSA4', 'ODPV3', 'PETR4', 'POMO4', 'TAEE11', 'UNIP6']",3.978369250310134,0.18000000000000005,0.4235516890572961,0.44401625833430325,0.20086864780323754,"{'Financeiro e Outros': 3, 'Saúde': 2, 'Materiais Básicos': 1, 'Utilidade Pública': 1, 'Bens Industriais': 1, 'Consumo Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1}",80,True
32,74,"['BPAN4', 'BRFS3', 'CMIN3', 'CSMG3', 'CURY3', 'GGBR4', 'IGTI11', 'ISAE4', 'POMO3', 'SAPR4']",4.251278321830618,0.20000000000000004,0.10826053187142413,0.17586338457874284,0.3873035169492093,"{'Utilidade Pública': 3, 'Financeiro e Outros': 2, 'Materiais Básicos': 2, 'Bens Industriais': 1, 'Consumo não Cíclico': 1, 'Consumo Cíclico': 1}",96,True
33,75,"['AURE3', 'CMIN3', 'CSNA3', 'DIRR3', 'EGIE3', 'FLRY3', 'ITSA4', 'ITUB3', 'SANB11', 'VULC3']",3.929707937981113,0.22000000000000003,0.17704698498200494,0.1723147014414685,0.4393773396855615,"{'Financeiro e Outros': 3, 'Consumo Cíclico': 2, 'Utilidade Pública': 2, 'Materiais Básicos': 2, 'Saúde': 1}",108,True
34,76,"['ALOS3', 'BBAS3', 'CRFB3', 'HYPE3', 'ISAE4', 'PETR3', 'SANB11', 'TAEE11', 'TIMS3', 'UNIP6']",4.1718380895822404,0.18000000000000005,0.05201626438995674,0.17964063171665984,0.42852702709987234,"{'Financeiro e Outros': 3, 'Utilidade Pública': 2, 'Materiais Básicos': 1, 'Comunicações': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Consumo não Cíclico': 1, 'Saúde': 1}",116,True
35,77,"['BBDC3', 'CSMG3', 'DIRR3', 'ECOR3', 'FLRY3', 'ITSA3', 'ITSA4', 'POMO4', 'SANB11', 'SMTO3']",3.905194156910828,0.24000000000000007,0.40632746981007584,0.2941596473175997,0.34990050230269576,"{'Financeiro e Outros': 4, 'Bens Industriais': 2, 'Consumo Cíclico': 1, 'Saúde': 1, 'Consumo não Cíclico': 1, 'Utilidade Pública': 1}",59,True
36,78,"['CSMG3', 'GGBR4', 'ITUB4', 'MDIA3', 'ODPV3', 'PRIO3', 'RAIL3', 'SULA11', 'VULC3', 'WEGE3']",3.885679505137896,0.14,0.06331317388604969,0.0859663484770686,0.39433634494525366,"{'Bens Industriais': 2, 'Financeiro e Outros': 2, 'Consumo Cíclico': 1, 'Saúde': 1, 'Consumo não Cíclico': 1, 'Materiais Básicos': 1, 'Utilidade Pública': 1, 'Petróleo, Gás e Biocombustíveis': 1}",105,True
