TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
VULC3,1.89,19.91,950.99,1692.13,26.52,33.46,741.14,6.94,9.84,519.41,55.92,2508,43.79923528334111
ISAE4,10.45,26.9,157.42,1076.86,9.92,27.96,919.44,18.04,30.01,287.14,27.69,2497,85.38157234923762
TAEE11,18.01,41.97,133.04,556.98,8.83,20.71,423.94,11.88,31.71,176.09,21.55,2508,76.11404359222952
ITSA4,4.66,11.63,149.43,432.3,9.57,18.2,282.87,8.63,6.56,140.77,27.94,2508,65.43372657876475
MBRF3,6.21,19.64,216.03,413.5,12.19,17.78,197.46,5.58,7.91,127.23,46.78,2508,47.75332527206771
BBDC4,10.05,18.22,81.25,226.53,6.13,12.56,145.28,6.43,10.05,100.01,34.66,2508,64.13278594446652
BBDC3,11.37,15.64,37.58,149.38,3.24,9.57,111.8,6.33,9.25,81.33,33.08,2508,74.84268309010577
CXSE3,10.01,16.54,65.23,135.99,5.15,8.97,70.75,3.82,4.25,42.42,27.67,1168,52.02588425619531
SBFG3,12.3,12.6,2.44,11.9,0.24,1.13,9.46,0.89,0.98,7.93,57.61,1671,79.49579831932773
