run_id,seed,tickers,fitness,hhi,score_median,score_mean,score_std,sectors,generations_run,converged_early
11,53,"['ALUP11', 'BIOM3', 'BRBI11', 'CYRE3', 'ELMD3', 'KLBN3', 'LOGG3', 'MBRF3', 'PSSA3', 'SMFT3', 'TAEE3', 'TASA4', 'TTEN3', 'VALE3']",4.3127090648718625,0.14285714285714285,-0.028052003563534104,0.08144396759614828,0.2643263356700074,"{'Financeiro e Outros': 3, 'Consumo não Cíclico': 2, 'Utilidade Pública': 2, 'Consumo Cíclico': 2, 'Materiais Básicos': 2, 'Comunicações': 1, 'Bens Industriais': 1, 'Saúde': 1}",52,True
12,54,"['AESB3', 'BBDC3', 'BRST3', 'EMBJ3', 'ITUB3', 'POMO3', 'SHUL4', 'SUZB3', 'TAEE11', 'TKNO4', 'TRIS3', 'UNIP3', 'VLID3', 'ZAMP3']",4.3608852513134355,0.19387755102040813,0.11081929313898353,0.1561700569615428,0.24015806620914315,"{'Bens Industriais': 4, 'Materiais Básicos': 3, 'Utilidade Pública': 2, 'Financeiro e Outros': 2, 'Consumo Cíclico': 2, 'Comunicações': 1}",125,True
13,55,"['AMER3', 'AZZA3', 'GOAU3', 'ISAE4', 'MBRF3', 'ONCO3', 'OPCT3', 'SBFG3', 'SCAR3', 'SHUL4', 'TAEE11', 'TTEN3', 'USIM5', 'VULC3']",4.20293557388629,0.17346938775510204,0.2949337680942431,0.2614062042770494,0.22331940647030168,"{'Consumo Cíclico': 4, 'Consumo não Cíclico': 2, 'Utilidade Pública': 2, 'Bens Industriais': 2, 'Materiais Básicos': 2, 'Financeiro e Outros': 1, 'Saúde': 1}",51,True
14,56,"['B3SA3', 'BAZA3', 'BPAC11', 'BRST3', 'DASA3', 'DESK3', 'DEXP3', 'EUCA4', 'LWSA3', 'MELK3', 'MILS3', 'PETR3', 'SANB11', 'SIMH3']",4.171682661535011,0.19387755102040816,0.05886989254825195,0.05691256463547315,0.30199323456920424,"{'Financeiro e Outros': 5, 'Materiais Básicos': 2, 'Comunicações': 2, 'Bens Industriais': 1, 'Consumo Cíclico': 1, 'Petróleo, Gás e Biocombustíveis': 1, 'Tecnologia da Informação': 1, 'Saúde': 1}",60,True
15,57,"['BLAU3', 'BRFS3', 'COCE5', 'EMAE4', 'FLRY3', 'ITSA3', 'MGLU3', 'MTSA4', 'PCAR3', 'ROMI3', 'SANB11', 'TTEN3', 'TUPY3', 'VTRU3']",4.0929404094648305,0.173469387755102,0.07554855980161856,0.14223725792292502,0.2937489643418324,"{'Consumo não Cíclico': 3, 'Bens Industriais': 3, 'Consumo Cíclico': 2, 'Saúde': 2, 'Financeiro e Outros': 2, 'Utilidade Pública': 2}",51,True
16,58,"['BMGB4', 'BMOB3', 'CSMG3', 'ENGI11', 'ISAE4', 'KLBN3', 'MDNE3', 'MOVI3', 'ODPV3', 'RADL3', 'TAEE11', 'TAEE3', 'USIM5', 'VLID3']",4.293958802947606,0.20408163265306123,0.20623873562339679,0.2044845987301262,0.23635422142408227,"{'Utilidade Pública': 5, 'Consumo Cíclico': 2, 'Saúde': 2, 'Materiais Básicos': 2, 'Tecnologia da Informação': 1, 'Bens Industriais': 1, 'Financeiro e Outros': 1}",61,True
17,59,"['ASAI3', 'BBAS3', 'CYRE3', 'ELMD3', 'GOAU3', 'IGTI11', 'LOGG3', 'LOGN3', 'MELK3', 'MOAR3', 'RANI3', 'RDOR3', 'SBSP3', 'SULA11']",4.101961784719119,0.19387755102040816,0.14642947941527512,0.1169333159310586,0.2023976790891468,"{'Financeiro e Outros': 5, 'Materiais Básicos': 2, 'Consumo Cíclico': 2, 'Saúde': 1, 'Comunicações': 1, 'Utilidade Pública': 1, 'Consumo não Cíclico': 1, 'Bens Industriais': 1}",80,True
18,60,"['BMGB4', 'ENAT3', 'FIQE3', 'JSLG3', 'MBRF3', 'ODPV3', 'OPCT3', 'POMO3', 'POMO4', 'PSSA3', 'RAIL3', 'SIMH3', 'USIM3', 'VAMO3']",4.623083249799526,0.25510204081632654,0.29781670276648187,0.15094613695579312,0.37111972948746413,"{'Bens Industriais': 6, 'Financeiro e Outros': 3, 'Comunicações': 1, 'Consumo não Cíclico': 1, 'Saúde': 1, 'Materiais Básicos': 1, 'Petróleo, Gás e Biocombustíveis': 1}",77,True
19,61,"['CMIG3', 'CPLE5', 'DIRR3', 'GGBR3', 'GGBR4', 'GOAU3', 'ITUB3', 'JHSF3', 'MTSA4', 'PGMN3', 'SAPR11', 'SHUL4', 'TIMS3', 'WEGE3']",4.39668716871195,0.17346938775510204,-0.012685839875975644,-0.0083020965638268,0.211691957383604,"{'Bens Industriais': 3, 'Utilidade Pública': 3, 'Materiais Básicos': 3, 'Consumo Cíclico': 2, 'Saúde': 1, 'Financeiro e Outros': 1, 'Comunicações': 1}",61,True
20,62,"['ANIM3', 'BBDC3', 'BRAV3', 'CSUD3', 'CXSE3', 'EUCA4', 'EZTC3', 'IGTI11', 'JALL3', 'MBRF3', 'ROMI3', 'SMFT3', 'TAEE4', 'VVEO3']",4.328467085214753,0.1530612244897959,0.22724933378507525,0.17189135241890857,0.2404038371621249,"{'Financeiro e Outros': 3, 'Consumo Cíclico': 3, 'Consumo não Cíclico': 2, 'Bens Industriais': 2, 'Utilidade Pública': 1, 'Materiais Básicos': 1, 'Saúde': 1, 'Petróleo, Gás e Biocombustíveis': 1}",173,True
21,63,"['ABCB4', 'BAZA3', 'BMOB3', 'BPAN4', 'DEXP3', 'GMAT3', 'MBRF3', 'MDNE3', 'MTSA4', 'ODPV3', 'OPCT3', 'PSSA3', 'SCAR3', 'SOJA3']",4.73452836597749,0.2142857142857143,0.22045322240553056,0.19478647454234688,0.24742016747696421,"{'Financeiro e Outros': 5, 'Consumo não Cíclico': 3, 'Bens Industriais': 2, 'Tecnologia da Informação': 1, 'Materiais Básicos': 1, 'Consumo Cíclico': 1, 'Saúde': 1}",52,True
22,64,"['ANIM3', 'BBDC3', 'CPLE3', 'CSUD3', 'GOAU3', 'HYPE3', 'JHSF3', 'MDNE3', 'SIMH3', 'TAEE11', 'TASA4', 'UGPA3', 'VBBR3', 'VVEO3']",4.895185445503394,0.1530612244897959,0.1777353395914263,0.10008329563904945,0.27140433863245894,"{'Consumo Cíclico': 3, 'Financeiro e Outros': 2, 'Utilidade Pública': 2, 'Petróleo, Gás e Biocombustíveis': 2, 'Bens Industriais': 2, 'Saúde': 2, 'Materiais Básicos': 1}",58,True
