TICKER,SETOR,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,VPA,LPA,PEG RATIO
ABCB,Financeiro e Outros,0.753831862986112,0.5046011625358492,0.691691593290855,0.6004281497932297,-1.0948145058533507,-0.4833369971153452,-0.473973381184809,-0.4376824735846313,-0.5697050493567412,,,0.6685769225355553,-0.1197841425572846,0.674741324588316,-0.6493153001043598,-0.09778093590687159,-0.4851905359651094,,-0.7285620085940397,0.7806736488866912,-0.1906171899702759,2.0756476004873092,0.13723228562984643,0.7612533252509611,0.9333026563293122,-0.22354598435143555
ABEV,Consumo não Cíclico,0.8531760689207881,-0.9649735196723397,-0.27509310964868366,-2.727051688023579,1.894594017545285,1.6769462664729011,1.2873748422883806,0.4931264675045742,0.2157620423333682,0.9413118501180434,-0.5399833407778235,-2.8993114067698667,-0.13741686045539123,-1.7406143350104788,-0.9462288839267385,0.32496988162169554,1.1057506424773191,1.38686132406234,1.7492273883315512,-1.7182389205781856,-0.7118311491345609,-0.5471961770559063,-0.757647497593301,-0.5543423262957726,-0.0609295564114391,-4.116685490863088
AESB,Utilidade Pública,,1.9673876889541893,0.33391584732268453,0.5456977440946195,-0.7808021008930219,-0.7070791917550543,-2.0422874669270352,1.569349872788062,2.652623892903927,-2.993174325299886,1.004594482343135,-0.1389342402551142,-0.242301909268663,0.7454333518909805,-1.2560236106508993,-2.188117412095684,-2.158066588859046,-1.4697821548398744,-0.33351746065343385,0.04097939429917602,-0.9263517033481312,,,-1.0149985253715474,-1.3526162204986554,-0.2482832142106341
AGRO,Consumo não Cíclico,1.0907609392859077,-0.0736104964101789,0.20625112183309924,-0.18722887362190951,0.9773003662151893,2.153560411022928,1.8636403312234153,0.20953858052968694,0.18708666408708974,-0.235610152907474,-0.29701491677928615,-1.7216481048951229,-0.23061069205486648,0.22138205272752803,-0.1487735022365907,0.3051072491436873,0.8612680353426376,0.1111610507382164,1.2795447389135577,-1.1887154357360168,-1.3197905112260668,-0.3251226011413152,-0.4249431553983148,0.9281003391761002,0.5916651484373673,0.2594368924658585
ALOS,Financeiro e Outros,-0.6301273572388579,-0.354689700779925,0.6239833136901116,0.20025656036714518,0.7864693319347943,0.2773496610891367,-0.028277460355235692,-0.18359388851882438,-0.47105874994736024,0.0044740917124410085,-0.29843900365190845,-0.4734869641699472,0.1109113591516133,0.3643330369736275,0.06086110494407143,-0.7502389471267311,-0.31736956912397213,-0.0019981785540146074,0.8558674730306682,-0.8554687290195488,-0.524197272418259,1.5633430079329937,3.6159312388766067,0.6357802815509945,-0.35615704111965657,-0.3114945625165465
ALPA,Consumo Cíclico,-1.4067995766973385,-1.8833064900663108,0.134721929641744,-0.6885705229150583,0.009602664384566273,-0.765208457477208,-0.5632907523437553,0.42227495463725545,0.35414952849297093,-0.1013835604524393,-0.6451962349417147,-0.48719207254367586,0.14334917578954157,-0.12394142346163925,-0.09682190947193078,-0.5294775496185488,-0.4940786539012752,-0.2116362634296322,1.4366867701944765,-1.4173937707173536,0.18404362695955415,-1.2439903605510765,-0.6839455285916816,-0.7287319642952558,-0.43975849693781643,-0.07084146967519533
ALUP,Utilidade Pública,-1.0324602945019181,0.02038442532678949,0.36017316451814074,0.8564673651191509,1.9836579250295894,1.8067317393279267,0.5933648257204995,-0.7462305231888106,-0.5386051602988526,0.23417807891062456,0.20254085547241052,-0.8390811897318063,-0.013939251720021315,0.8572840717112089,0.9898767937414797,-0.37903874971514245,-0.6474015212784751,0.21853313128765933,-0.8426586990791148,-0.19123717339615431,-1.3677390827339724,-1.751512565575456,-0.6849284215537853,-0.49367267165552264,-0.5949805209731709,-0.2433770505598733
AMER,Consumo Cíclico,,1.0026167317952557,0.9781983587030999,1.1327225860876806,-0.8491827676701228,-1.3973652558444372,2.911801578019143,0.08118835199158435,0.08699221182774303,-0.10528273028761093,-0.3323894212831633,1.43322755173073,-0.8632779478290703,0.852686430870706,-0.6129243251219824,4.5076037126732995,3.7351227273763774,-5.034347457143439,-0.7771803953527727,0.8627034521675708,0.6196975822829914,-0.04419727092395557,,1.463739577950166,5.6646387793645046,0.20421169127250013
ANIM,Consumo Cíclico,2.6047830625309527,-0.29625604011298523,0.7134228631142909,0.9408858753678491,1.0897245479997426,0.5911059081486224,-0.6737910384294895,0.11287962524999373,0.14719822636248947,-0.2177737800323124,1.3590844599815963,0.9707393166144561,-0.5777099694975493,0.7970557303074711,-0.18030906494473314,-0.5262266137795815,-0.7488782462129939,0.15723661168264216,-0.8968488907877593,0.6826957766766556,-0.8324822687951332,0.8118301204754935,,-0.7367434315629005,-0.43975849693781643,0.11619467976923759
ARML,Bens Industriais,-0.5998740228619046,0.22301180146833355,0.5895551596087661,0.7313467763115972,0.3003515387958335,0.36552856915147497,-0.12681461672870523,-0.42362745945082003,-0.1192634425129739,-0.5660556045304561,-0.11439295767600177,0.6636332690989153,-0.24855468754190663,0.6502124919685174,0.7499993986454653,-0.3618210402130356,-0.635511822202287,-0.2035426003255904,-0.2626844456813756,0.2579363477335386,-0.8109553140632593,3.752466214695496,1.2667640370476863,-0.5842569209464702,-0.8382189671708871,-0.5900328287981502
