TICKER,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,VPA,LPA,PEG RATIO,SETOR,IN_IBOV
ODPV3,0.746357149121121,0.28895207625451697,-1.7027072642162528,-2.807536295758779,0.15180194926198068,1.5847469203140188,1.4225862454468912,0.4164020722113835,-0.028900297590972374,0.6371352075062636,-1.1253569118860762,-2.060430422378445,-3.4203590150021217,-2.2252954367681674,-1.0432039306737733,0.7599126647848463,1.9078768057167093,1.3434205769658911,1.5672974833367732,-1.6149847806065456,0.16030238824291396,-1.243657014925887,0.19710214378985996,-1.1532126619272636,0.5287849099723676,0.8430174083807536,Saúde,False
ONCO3,,1.0117307534285005,-0.29398609738451803,0.5640929048334056,-0.20965819971106098,-2.7360764666904904,-2.858974028420111,-1.5267947121880858,-1.5562569306399625,1.0321193110080615,3.179669429070285,0.6301194571481196,0.44112966132479425,0.6715049196368815,-0.7499156283649699,-3.336527572193032,-2.697200930168593,-2.8077528418178326,-1.611286314255329,1.5620227797131236,-0.4581827339931897,,,-1.432365282588455,-1.883720013139852,-0.05821240010662643,Saúde,False
PFRM3,0.9079291546477214,0.3913251653422995,0.6962446809741911,0.7070069943803785,-1.0858738034031448,-0.4013514531034985,-0.01926028013435441,-0.576135940509897,-0.3521883901930634,-0.09682779079185298,-0.361197805219202,1.018927243206872,0.18078567155159678,0.5383511070182199,-0.5006205714024873,0.3109507288055819,0.10801136386483338,0.38699186397120316,-0.7549555194702421,0.4690580796614592,1.8200254045023867,-0.08018777515994191,1.7238403228549415,0.7141491868896447,0.44677341116968583,0.5994595593830695,Saúde,False
PGMN3,-0.05161071490821103,-0.312952351153169,0.3249081390896753,0.3640131794676434,-0.12254573814322314,-0.2186920011365809,0.002145575248127654,-0.19712880906991442,-0.026026625656731625,-0.23241934871038053,-0.17307394833420092,0.7806256969127978,0.2232997574236509,0.27204348178089643,-0.09001694817016277,0.28967509556579474,0.11136263174770132,0.5849950479219513,-0.3195330814439267,0.3918713070589404,1.0334578549291777,-0.24843705172556943,,-0.7429429012585431,0.009378750888716873,0.5884983600582412,Saúde,False
PNVL3,-0.803415148787086,0.11442446052052603,0.43100429391382267,0.3640131794676434,-0.11010110077638922,-0.28402788203243995,0.05209257114058578,0.08765003002311134,0.4783027988025305,-0.8661624998513247,0.033862294239300324,0.7680835102657413,0.19524922653899662,0.1858851324394094,0.40857316575480246,0.31881051688142686,0.20017123064370138,0.07898691115892806,-0.02925145609304988,0.08312421664886617,0.9243134215933947,-0.4380998725813676,-0.07115996532411406,0.12623684943652982,0.32375616296566334,0.780319348242736,Saúde,False
QUAL3,-1.3092674216000606,-2.8014818034846165,0.8671773748575398,0.7498812212444703,2.7461015612057684,0.32507113664185844,-0.04326078465410702,-0.5949815989792885,0.0846097438115396,-1.0164922705870834,-0.06019963420320029,0.59249289720695,0.04009472758325271,0.835989041106993,-1.185155468991234,0.20782488870699561,-0.042795690864223294,0.035719548740060864,-0.10182186243076878,0.16031098925138496,-1.0766678562292933,-2.0949167789411423,-2.222014120964103,-0.6646955757701789,-0.16831282985042675,-0.3760871805266461,Saúde,False
RADL3,-0.8067125366549757,-0.8938887964585381,-2.185091114816709,-1.436704348824216,-0.27301271721494313,-0.1758372835597272,0.12020211099393781,1.9572231086688245,1.360520082614459,0.07708312045147582,-0.3517916123749519,-0.0722429950870457,0.5844503425635748,-2.1012274137164266,-0.3539764202480859,0.45784745767137375,0.4079498393815128,1.1885380864088617,-0.4646738941193653,0.546244852263978,1.4518448493830125,0.02789963887615803,0.06867070911489787,-0.7915831306161749,0.3442590376663338,0.7309939512810086,Saúde,True
RDOR3,-0.8561733546733229,-0.5090646543454274,-1.2193803366840255,-0.3934314951313133,-0.7436462758152101,0.5667436423211646,0.4451819154370745,1.1827921832999673,0.6090548718104873,0.40427144499400974,-0.728039326144954,-1.3139194731456414,0.24652910331250527,-0.5582097027825235,2.131348653516712,0.4264083053679939,0.2747369410375127,0.39652535060586874,-0.8275259258079615,0.7778051700715343,-0.8765697284470244,1.3902089327651175,0.7887226875440491,0.7797077568934094,1.1222747896411072,0.5830177603958271,Saúde,True
VVEO3,,0.990146065970233,0.9864766067264699,0.8756456200458067,-1.2436718052145996,-0.8158479017976576,-0.6555979810499574,-1.572861877335487,-2.321228399534866,2.539190000846861,0.5888276720500534,1.0741128644539204,0.1430927706753426,0.9324863923694583,-0.20733226909368416,-0.4724533206161362,-0.9845019659501106,-1.0136973261989046,-0.9726667384833999,1.0865522604816094,0.5059264271395599,1.427417515200752,,-0.33267314058982256,-2.2505847844505147,-0.05821240010662643,Saúde,False
BRAV3,,-0.21477261405728806,0.8818470608244836,1.1822187036734217,0.24921515527997914,0.30636495326679924,-0.14400371299602968,0.18942996362832026,0.2952173235757552,-0.3158453734334503,-0.33457873621315254,0.3722587656996807,0.38953944362951,1.1426010371768403,-0.16733624593162194,0.29584674728065274,-0.18661609597528034,0.3168968354597459,-0.24599853402040767,0.5495250268776137,-0.6762449553160013,2.842635799198459,,0.7147476433428714,-0.22735315510823972,0.12187734840137382,"Petróleo, Gás e Biocombustíveis",True
CSAN3,,1.509676155202796,-2.7342357113428553,1.1193948805427265,0.3619606213679064,-0.950633395007765,-1.7666427738105566,0.6334894778278968,0.5528942745146614,-0.5364804017373429,2.900049996099934,0.4664180589081493,0.3845500177892129,1.030379622492587,-0.0665236871958002,-2.847577094251016,-1.9633639093815827,-1.268965325345145,-1.9621645130420107,0.9237971378107753,-0.6032360532575934,-0.2599934321300952,,-1.6045536991613591,-1.6417466456825778,-0.05263827486889478,"Petróleo, Gás e Biocombustíveis",True
