TICKER,PRECO,ULTIMO DIVIDENDO,DY,VALOR PATRIMONIAL COTA,P/VP,LIQUIDEZ MEDIA DIARIA,PERCENTUAL EM CAIXA,CAGR DIVIDENDOS 3 ANOS,CAGR VALOR COTA 3 ANOS,PATRIMONIO,N COTISTAS,GESTAO,N COTAS,SETOR
BTYU11,6.98,-1.0000000000000002,0.4020233920098688,10.12,0.3563429764295858,-1.2150885345037397,0.4167716531073726,,,1.3998197447455085,0.3054637433106845,,1.4141639422763355,Incorporações
SMRE11,57.41,0.9999999999999999,0.973204167543016,104.32,1.0070562377357848,-0.01908950935785429,-1.3787387826633422,,,-0.5256155475498728,1.043102116046115,,-0.6968224256272746,Incorporações
VCTH11,101.0,,-1.3752275595528851,94.92,-1.3633992141653706,1.234178043861594,0.9619671295559704,,,-0.8742041971956362,-1.3485658593567988,,-0.7173415166490611,Incorporações
AZPL11,7.4,0.7104859628176099,-0.37427183946180376,8.58,-0.8743049484434333,0.6516249788203616,-0.09753163098937102,,,-0.07727349326197407,-0.3451821994388574,,0.022584599037336294,Serviços Financeiros Diversos
BBIG11,4.93,-1.5997393614409412,1.0065618334793776,9.79,0.763950257488309,1.2957993591458967,0.9559649576443058,,,1.6253907594901442,1.7152505467400532,,1.5864698827461616,Serviços Financeiros Diversos
RENV11,5.68,0.9645583624242764,0.8342589640633956,14.15,1.2053690213088062,-0.9683208907123133,0.7344337765720644,,,-1.051367261907215,-0.6745181629957151,,-1.1111826536533076,Serviços Financeiros Diversos
ZAGH11,8.34,-0.07530496380094491,-1.4665489580809707,9.11,-1.095014330353682,-0.9791034472539448,-1.592867103226998,,,-0.4967500043209559,-0.6955501843054802,,-0.49787182813019026,Serviços Financeiros Diversos
BRIP11,371.35,0.17364948639969482,-0.5475763723056073,425.97,0.18654861513677057,-0.19032562796092167,-0.35206688469011305,,-0.16016081193667495,-0.29201933406258523,-0.32396143511297554,,-0.3253016461600868,Fundo de Desenvolvimento
BTWR11,89.4,-0.45871017059509056,0.07747035137506461,126.59,0.19263403725834197,-0.19032636087545554,-0.45444459211348337,0.36712707356613866,,-0.26580731072309133,-0.3321421878856193,,-0.2885572909621766,Fundo de Desenvolvimento
CFHI11,20.1,0.10854531401437671,4.268870215665339,26.58,0.1907323428453509,-0.19032635342751555,4.076140651136456,,-0.04790953260256253,-0.511064274930992,-0.33355492832426864,,-0.3327814690187674,Fundo de Desenvolvimento
