TICKER,SETOR,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,VPA,LPA,PEG RATIO
AALR,Saúde,,1.6710629011698164,0.7028553832288142,0.6031029804813631,-0.15629689409397743,0.0852474266234975,-0.3193111039772963,0.3633041142960332,0.5774683351449386,-0.719730162045185,0.03686879045158258,0.3641594010330624,-2.806995664292941,0.7515468262747603,-1.2726244417197858,-0.2041221035309976,-0.3439396871039247,-0.04201455036748506,-0.0625937852921302,0.0444270353683053,-0.9175732857990506,-0.5078503927816655,,-0.2504824799830368,-0.46405862374962675,-0.2596095749717351
ABCB,Financeiro e Outros,-0.026724235634537102,0.3130905726060114,0.6383227071755274,0.5687527530957887,-1.0717217077862509,-0.5136207325497428,-0.4527514471048456,-0.3691279330759236,-0.47729807039647393,,,0.6035520893501978,-0.2327836460962129,0.6487278239174318,-0.7026156473477302,-0.07211152809268197,-0.4511034346861717,,-0.7604822828680853,0.826881710283656,-0.18240179907419016,1.9834648553987486,0.0036491012355403104,0.24821573517279083,0.40081442872255646,0.16075095555869415
ABEV,Consumo não Cíclico,0.9840570103408468,-0.1337591636406673,-0.3138358787802077,-2.5964645790570726,1.1516912251673141,1.3806312583490907,1.269678592934009,0.3490497565579562,-0.0600537153839651,1.044775889645736,-0.5336828200570816,-0.5055080181259923,-0.10832491386025618,-1.8298285110305283,-0.8626026506447563,0.3406163768771003,1.1805917646464186,1.485256569357781,1.5207958801078238,-1.5168140147140885,-0.5431233999958541,-0.5239438733455852,-0.49236744892744966,-0.5043633408238495,-0.027587126782203007,-4.343790831448965
AERI,Bens Industriais,,0.9695445714045768,0.04632001758040078,0.8283703228404885,-1.3163499612891794,-2.2836180009158027,-2.471917914755176,-0.9859405023160853,-1.3542421382592458,1.0941052463822325,4.059640013115618,0.9328854228631533,-0.29232760251560236,0.6883218337156031,-0.9324188748947497,-5.336897331396161,-3.505281655075155,-3.2619754496001705,-0.9859366295947078,1.0077885787873266,-0.3557428215293751,-0.438769398817738,,-0.733429209138543,-4.67623991937685,-0.34370659420952765
AESB,Utilidade Pública,,1.6857535701734832,0.27841104296401453,0.47552656167526813,-0.5017365504566855,-0.48966746579414533,-1.5611910303366587,-0.20242081097307985,-0.17335602810710815,-0.45257404435244025,0.4473426556948721,-0.012598028130291357,-0.3059288776862582,0.545121819867409,-0.7479306375127835,-1.191726124206252,-1.910641170807739,-1.034672747378653,-0.30006847031808326,0.07419678999081707,-0.8289099719998856,,,-0.8674275484157611,-1.0805766641077816,-0.2185865883201433
AGRO,Consumo não Cíclico,1.2168240783218456,0.25762573652877546,0.19654704697984823,-0.14725554326535598,0.5021775633684501,1.9008328031154609,1.847037270226299,0.08085241533936999,-0.07761328128570939,-0.18690153684761288,-0.2744506657672975,-0.17750596463039253,-0.20837366481966388,0.19294178405987295,-0.06045941316533714,0.31944490509688633,0.92658832442094,0.1641387124763298,1.066465304493059,-0.9945041320625884,-1.1240928070818834,-0.29105425360600856,-0.19057590665588658,1.0341234067013598,0.6643976587245695,0.26597663009227857
ALLD,Consumo Cíclico,2.760177667875039,0.24847742658263697,0.815735299645912,0.7544450130200157,-1.8812965916747715,-0.763841464876645,-0.6197378252911374,0.09978660617402958,0.10244659046375428,-0.11666685616123353,-0.4888893062204774,1.1985551071294125,-0.6167159216731963,0.4621924432870756,-0.26087090404260693,-0.22950975868322593,-0.34632127832237763,0.10251200067364508,0.43975403811414765,-0.35264867437450526,2.5171240690626804,-0.5469847246531517,-0.4404188806873724,0.5843958781660871,-0.08441872576590888,-0.13036439037022016
ALOS,Financeiro e Outros,-0.4962737935439166,-0.5091218090273767,0.5638263924758145,0.12106499480826535,0.8422447603069878,0.2681951655382834,0.044213714075757755,-0.15042392000668375,-0.39396345733028115,0.07759310930843105,-0.27620502025901644,-0.6666412274903123,0.02844363939081056,0.3030394805125156,0.049289937234363826,-0.6510287332163696,-0.267985805915586,0.14291875277597402,0.9155425099503361,-0.84372031802935,-0.527486283809145,1.4686344349417608,3.166909706839322,0.17676130748009078,-0.24740297621958357,0.10012961512885829
ALPA,Consumo Cíclico,-1.1895899717532101,-2.1936060227153105,-0.003995095609856889,-0.8760805882636453,0.17661871347542427,-0.7687793999752307,-0.43273000904335057,0.4689851810615385,0.4074839043509036,-0.05808938313854784,-0.6584524168717503,-0.7271068541806585,0.23185225023892864,-0.24848584666932172,-0.006396074348494653,-0.3117014971656162,-0.368185929996217,-0.2607908595131794,1.3253738133119073,-1.3012602395289359,0.029957909321163594,-1.0783634042429484,-0.6788151149824415,-0.6038435952277943,-0.3365685314671932,-0.19139581306790146
ALUP,Utilidade Pública,-1.0759014441817984,0.09423829204750724,0.28561216527002353,0.6380137012395073,2.017608434473901,1.9346885590407594,0.6376767687221194,-0.21951545968414882,-0.22634138570595408,-0.16612650201759063,0.042965650748794576,-0.5139923637061444,-0.025141586007953243,0.5874102745112106,0.18855768748060062,-0.2566508608584237,-0.5082382568999477,0.22027966964126125,-0.6796930477281996,-0.06707193267381908,-1.1432163909635726,-1.12118931430745,-0.537108869366142,-0.5106551706414891,-0.561765361714793,-0.21251038102409942
