date,CXSE3,FIQE3,UNIP3,MBRF3,TAEE3,BMOB3,POMO3,JHSF3,PSSA3,LAVV3,SIMH3,AZZA3,PFRM3
2021-07-29,7.62933683395,5.89060258865,44.4510650635,12.4325418472,8.01304721832,15.0145263672,1.33395946026,5.30915737152,20.0978393555,4.18181848526,30.8475322723,76.9340744019,4.52587366104
2021-07-30,7.37368011475,5.79886865616,45.3868751526,12.1354980469,8.01304721832,14.795334816,1.32921242714,5.1705365181,20.2236995697,4.20412158966,31.1381263733,75.2466049194,4.51150655746
2021-08-02,7.34676742554,5.73989725113,45.845413208,12.2530784607,8.25989532471,15.2650270462,1.36244285107,5.27450275421,21.1554164886,4.18181848526,31.2498931885,76.5433883667,4.51150655746
2021-08-03,7.31985664368,5.7333445549,45.9951553345,12.0674247742,8.25989532471,15.7738618851,1.28648793697,5.26756954193,21.0927791595,4.07587862015,30.6240005493,76.5018157959,4.40374755859
2021-08-04,7.15165996552,5.5040102005,46.3133201599,11.7951345444,8.30420017242,15.6564407349,1.28174042702,5.1705365181,20.9205284119,4.13721179962,29.7879867554,76.3023071289,4.34627580643
2021-08-05,7.0372877121,5.40572452545,46.7718811035,11.6528015137,8.27255439758,15.2572040558,1.22477412224,5.23291492462,20.7482795715,4.05915212631,29.4839820862,76.4768676758,4.38937950134
2021-08-06,7.11802101135,5.56953430176,46.7859077454,11.6528015137,8.36116504669,16.0321922302,1.20103824139,5.34381151199,20.7404537201,4.11490869522,29.4616298676,77.8069000244,4.41811513901
2021-08-09,7.05074453354,5.60884857178,46.7905883789,12.0798025131,8.47509479523,16.2748699188,1.20578563213,5.22598409653,20.9244441986,4.19854450226,30.2395210266,77.2250289917,4.46840190887
2021-08-10,7.01037740707,5.58263969421,46.8233451843,12.1045560837,8.36116504669,16.5566864014,1.19629085064,5.21905517578,20.7287063599,4.04242372513,29.595746994,76.560005188,4.46121788025
2021-08-11,7.0372877121,5.55643033981,47.2584953308,12.1850042343,8.37382411957,16.9089546204,1.19154429436,5.09429597855,21.6017017365,4.05915212631,29.1129207611,76.4602661133,4.59052848816
2021-08-12,7.21893978119,5.52366828918,47.2117118835,12.0117292404,8.36749267578,16.9872379303,1.17255556583,5.01805448532,21.7504634857,4.00339365005,29.3275051117,77.1252670288,4.61208152771
2021-08-13,7.13147687912,5.34020137787,47.2538223267,12.0364837646,8.36749267578,17.3629932404,1.16306078434,4.94874238968,21.863986969,4.00339365005,28.343963623,76.0113677979,4.4540348053
2021-08-16,6.80181503296,5.11086606979,45.845413208,11.8941488266,8.38015365601,16.9872379303,1.12508320808,4.75467586517,22.2554664612,3.75248479843,25.6436901093,74.564956665,4.20259714127
2021-08-17,6.51924705505,5.04534244537,44.4417037964,11.8941488266,8.4371175766,15.6016426086,1.12983071804,4.5190205574,21.5899562836,3.65769648552,25.6615695953,72.8026657104,4.17386102676
2021-08-18,6.73453569412,5.17639160156,44.6850814819,12.0055408478,8.34850692749,15.2415456772,1.1108417511,4.62991714478,22.5255870819,3.70787835121,25.7509822845,72.985534668,4.1451253891
2021-08-19,6.81527090073,5.28778219223,45.2599525452,12.3459033966,8.38015365601,15.7816905975,1.14407205582,4.70615720749,22.8818283081,3.73575758934,26.4662895203,74.149307251,4.16667795181
2021-08-20,6.80854272842,5.53677225113,45.1633491516,12.475859642,8.54471969604,16.4705753326,1.1535667181,4.76853847504,22.9170627594,3.79709148407,26.6451148987,75.1468353271,4.20259714127
2021-08-23,6.70762586594,5.63505840302,45.443523407,12.9028635025,8.45610713959,18.0597000122,1.18204951286,4.65070962906,22.8074493408,3.75806045532,26.859708786,75.0221557617,4.11639070511
2021-08-24,6.85563755035,5.5040102005,46.8589630127,12.9276161194,8.44977664948,17.8326854706,1.19629085064,4.8101234436,22.760471344,3.95321249962,27.4855995178,76.2607421875,4.20259714127
2021-08-25,6.91618680954,5.46469688416,47.2937202454,12.9399929047,8.39281082153,18.5763645172,1.22002696991,4.77546834946,22.4981822968,3.76921319962,27.896900177,77.0005722046,4.23851633072
2021-08-26,6.81527090073,5.17639160156,47.3033943176,12.9709339142,8.1333065033,18.3102054596,1.18679690361,4.61605453491,22.4512042999,3.61866688728,27.1994762421,75.9116210938,4.23133182526
2021-08-27,6.78163194656,5.20260000229,47.5497665405,12.9956874847,8.03836345673,18.7877292633,1.21527957916,4.67150306702,22.7017478943,3.59078764915,28.9698581696,76.8010787964,4.36064434052
2021-08-30,6.68744277954,5.09776210785,47.5787506104,12.9771232605,8.01937675476,18.7172737122,1.20578563213,4.62991714478,22.6391143799,3.5517578125,27.6823062897,76.0861740112,4.3103556633
2021-08-31,6.64034795761,5.02568626404,47.3372039795,12.6800785065,8.04469394684,17.9657649994,1.17730236053,4.58139944077,22.3807373047,3.5629093647,26.5557022095,74.3321914673,4.26725196838
2021-09-01,6.59998083115,4.93395280838,46.8541297913,13.2989215851,8.12064933777,17.9970798492,1.18679690361,4.53981399536,22.1341075897,3.51272702217,26.5914649963,73.5175476074,4.27443552017
2021-09-02,6.39814710617,4.97326755524,46.8589630127,13.0142555237,8.04469394684,17.3003673553,1.14407205582,4.36653900146,21.7582912445,3.5629093647,25.3575668335,71.3146820068,4.16667795181
2021-09-03,6.54615736008,4.82256221771,46.8106422424,13.2060956955,8.02570533752,18.0831890106,1.14881920815,4.31802272797,21.327665329,3.55733370781,25.0356788635,71.3978118896,4.15230941772
2021-09-06,6.4183306694,4.84221839905,46.8637924194,13.5464572906,8.01304721832,17.5900096893,1.18204951286,4.43584871292,21.4255371094,3.57963657379,25.7688674927,71.9880142212,4.23851633072
2021-09-08,6.14921665192,4.48839044571,46.5256309509,13.5278930664,7.87379789352,15.8991136551,1.11558926105,4.20019388199,20.5956058502,3.45139408112,24.4813156128,68.6047363281,4.08765459061
2021-09-09,6.20304012299,4.97326755524,46.1246681213,13.8806343079,7.87379789352,15.2650270462,1.13932478428,4.34574508667,20.7482795715,3.55733370781,25.0356788635,69.2531356812,4.05173444748
2021-09-10,6.16267347336,4.77669429779,46.3613815308,14.2209978104,7.8548116684,15.0301828384,1.13932478428,4.27643537521,20.8657245636,3.56848430634,25.1966228485,69.1284484863,3.9798951149
2021-09-13,6.31068563461,4.75703763962,46.7526779175,14.095990181,7.95608234406,15.7973489761,1.18204951286,4.44277954102,20.7326202393,3.7190310955,26.484172821,69.9098434448,4.06610202789
2021-09-14,6.31068563461,4.79635190964,47.2405929565,14.1750707626,8.05735206604,15.8051748276,1.1535667181,4.43584871292,20.5173110962,3.70787835121,26.3411102295,70.3919754028,4.12357378006
2021-09-15,6.17612838745,4.63254213333,46.3758735657,14.1091718674,7.96874046326,15.4685621262,1.14881920815,4.35960817337,20.1336574554,3.70230293274,26.3232288361,70.1425933838,4.10920572281
2021-09-16,6.10885047913,4.58667516708,46.0763664246,14.2541513443,7.90544700623,15.2650270462,1.14881920815,4.32495355606,20.3646316528,3.59636330605,25.7509822845,69.7602005005,4.05173444748
2021-09-17,5.88683271408,4.55391311646,46.1295051575,13.9839630127,7.81683492661,14.8266487122,1.13932478428,4.31802272797,20.4311828613,3.69672703743,24.9820327759,69.2365112305,3.99426293373
