date,value
2017-05-09,4611.20996094
2017-05-10,4618.18994141
2017-05-11,4609.68994141
2017-05-12,4602.95996094
2017-05-15,4625.50976562
2017-05-16,4623.25976562
2017-05-17,4540.58007812
2017-05-18,4557.41015625
2017-05-19,4588.35009766
2017-05-22,4612.12011719
2017-05-23,4620.70019531
2017-05-24,4632.37011719
2017-05-25,4653.58984375
2017-05-26,4655.64990234
2017-05-30,4650.75976562
2017-05-31,4649.33984375
2017-06-01,4685.10986328
2017-06-02,4702.56005859
2017-06-05,4697
2017-06-06,4683.95996094
2017-06-07,4692.29003906
2017-06-08,4693.66992188
2017-06-09,4689.79003906
2017-06-12,4685.54003906
2017-06-13,4707.87988281
2017-06-14,4703.52978516
2017-06-15,4693.85986328
2017-06-16,4695.22998047
2017-06-19,4734.47998047
2017-06-20,4702.81982422
2017-06-21,4700.5
2017-06-22,4698.39990234
2017-06-23,4705.72998047
2017-06-26,4707.27001953
2017-06-27,4669.27001953
2017-06-28,4711.33007812
2017-06-29,4670.95996094
2017-06-30,4678.35986328
2017-07-03,4689.60986328
2017-07-05,4697.33984375
2017-07-06,4655.02001953
2017-07-07,4684.87988281
2017-07-10,4689.25
2017-07-11,4685.64013672
2017-07-12,4720.27978516
2017-07-13,4729.25
2017-07-14,4751.43017578
2017-07-17,4751.33007812
2017-07-18,4754.27001953
2017-07-19,4780.25
2017-07-20,4779.83984375
2017-07-21,4778.06982422
2017-07-24,4773.10009766
2017-07-25,4787.04003906
2017-07-26,4788.41015625
2017-07-27,4784.25976562
2017-07-28,4778.02001953
2017-07-31,4774.56005859
2017-08-01,4786.27001953
2017-08-02,4789.54003906
2017-08-03,4779.99023438
2017-08-04,4789.10986328
2017-08-07,4797.12988281
2017-08-08,4786.12011719
2017-08-09,4784.93994141
2017-08-10,4717.39990234
2017-08-11,4723.72998047
2017-08-14,4771.43017578
2017-08-15,4770.14990234
2017-08-16,4778.27978516
2017-08-17,4704.72998047
2017-08-18,4696.22021484
2017-08-21,4701.81982422
2017-08-22,4748.72998047
2017-08-23,4732.75976562
2017-08-24,4723.02978516
2017-08-25,4731.45996094
2017-08-28,4733.97021484
2017-08-29,4738.62011719
2017-08-30,4761.72021484
2017-08-31,4789.18017578
2017-09-01,4798.99023438
2017-09-05,4762.75
2017-09-06,4777.68994141
2017-09-07,4777.93017578
2017-09-08,4771.02001953
2017-09-11,4822.79980469
2017-09-12,4839.31005859
2017-09-13,4843.04003906
2017-09-14,4839.29003906
2017-09-15,4848.83984375
2017-09-18,4856.08007812
2017-09-19,4861.52001953
2017-09-20,4864.60986328
2017-09-21,4849.95019531
2017-09-22,4853.20019531
2017-09-25,4842.41015625
2017-09-26,4843.14013672
2017-09-27,4862.93017578
2017-09-28,4869.81005859
2017-09-29,4887.97021484
2017-10-02,4906.91992188
2017-10-03,4917.72998047
2017-10-04,4924.18994141
2017-10-05,4952.85009766
2017-10-06,4949.08984375
2017-10-09,4940.16015625
2017-10-10,4951.77001953
2017-10-11,4960.79003906
2017-10-12,4952.85009766
2017-10-13,4957.27001953
2017-10-16,4966.04980469
2017-10-17,4969.37988281
2017-10-18,4973.27978516
2017-10-19,4975.31982422
2017-10-20,5001.10986328
2017-10-23,4981.37011719
2017-10-24,4989.56005859
2017-10-25,4966.29003906
2017-10-26,4972.60009766
2017-10-27,5012.75
2017-10-30,4997.14990234
2017-10-31,5002.02978516
2017-11-01,5009.99023438
2017-11-02,5011.47998047
2017-11-03,5027.49023438
2017-11-06,5034.29980469
2017-11-07,5033.37988281
2017-11-08,5040.74023438
2017-11-09,5023.00976562
2017-11-10,5020.31005859
2017-11-13,5025.35986328
2017-11-14,5014.52978516
2017-11-15,4987.95996094
2017-11-16,5030.47998047
2017-11-17,5017.45019531
2017-11-20,5024.00976562
2017-11-21,5056.95019531
2017-11-22,5053.60009766
2017-11-24,5064.22998047
2017-11-27,5062.85009766
2017-11-28,5112.91015625
2017-11-29,5111.68017578
2017-11-30,5155.43994141
2017-12-01,5145.20996094
2017-12-04,5139.91015625
2017-12-05,5120.91992188
2017-12-06,5120.45996094
2017-12-07,5136.37011719
2017-12-08,5165.18994141
2017-12-11,5181.75
2017-12-12,5189.95996094
2017-12-13,5187.68017578
2017-12-14,5167.45019531
2017-12-15,5214.10009766
2017-12-18,5242.27978516
2017-12-19,5225.43017578
2017-12-20,5221.79003906
2017-12-21,5232.16015625
2017-12-22,5229.79003906
2017-12-26,5224.50976562
2017-12-27,5229.00976562
2017-12-28,5239.58984375
2017-12-29,5212.75976562
2018-01-02,5256.27978516
2018-01-03,5289.91992188
2018-01-04,5312.33007812
2018-01-05,5349.68994141
2018-01-08,5358.68017578
2018-01-09,5367.25976562
2018-01-10,5361.33007812
2018-01-11,5399.45996094
2018-01-12,5435.91992188
2018-01-16,5416.85986328
2018-01-17,5467.85009766
2018-01-18,5459.5
2018-01-19,5483.56982422
2018-01-22,5527.89013672
2018-01-23,5540.12988281
2018-01-24,5537.02978516
2018-01-25,5540.37988281
2018-01-26,5606.08007812
2018-01-29,5568.66992188
2018-01-30,5508.35986328
2018-01-31,5511.20996094
2018-02-01,5508.70019531
2018-02-02,5392.20996094
2018-02-05,5171.25976562
2018-02-06,5262.02001953
2018-02-07,5235.83984375
2018-02-08,5040.06005859
2018-02-09,5116.99023438
2018-02-12,5188.37011719
2018-02-13,5202.22021484
2018-02-14,5273.43017578
2018-02-15,5338.35009766
2018-02-16,5340.81982422
2018-02-20,5309.99023438
2018-02-21,5280.91015625
2018-02-22,5286.49023438
2018-02-23,5371.56005859
2018-02-26,5435.37988281
2018-02-27,5367.08984375
2018-02-28,5308.08984375
2018-03-01,5238.18017578
2018-03-02,5265.24023438
2018-03-05,5323.35986328
2018-03-06,5337.68994141
2018-03-07,5335.47021484
2018-03-08,5360.72998047
2018-03-09,5454.02978516
2018-03-12,5447.10009766
2018-03-13,5412.75
2018-03-14,5383.27001953
2018-03-15,5379.39013672
2018-03-16,5388.74023438
2018-03-19,5312.22998047
2018-03-20,5320.20019531
2018-03-21,5310.95996094
2018-03-22,5177.52001953
2018-03-23,5069.02978516
2018-03-26,5206.68994141
2018-03-27,5116.75
2018-03-28,5102.68994141
2018-03-29,5173.18994141
2018-04-02,5057.68994141
2018-04-03,5121.70019531
2018-04-04,5181.31005859
2018-04-05,5217.62011719
2018-04-06,5103.35009766
2018-04-09,5121.89990234
2018-04-10,5207.72998047
2018-04-11,5179.18994141
2018-04-12,5222.54980469
2018-04-13,5207.56982422
2018-04-16,5249.93994141
2018-04-17,5305.89990234
2018-04-18,5310.31982422
2018-04-19,5280.56982422
2018-04-20,5235.75
2018-04-23,5236.04003906
2018-04-24,5166.10009766
2018-04-25,5175.58984375
2018-04-26,5229.60986328
