TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;8,40;1,83;18,02;0,86;0,32;57,02;14,47;2,90;3,61;5,57;1,96;0,47;0,52;5,49;-0,44;1,26;4,79;1,76;12,98;0,37;0,63;0,61;9,20;-15,14;4.838.790,33;9,73;0,47;-0,04;1.081.261.104,00
SGPS3;1,64;;-0,02;-0,02;0,01;-2,19;-81,65;-176,79;-0,04;-2,32;-2,29;;0,03;-0,01;-0,01;0,22;-127,05;-40,96;-137,25;-0,32;1,32;0,23;-12,92;;0,00;-76,40;-97,07;0,00;16.400.000,00
SHOW3;6,66;;-0,58;0,35;0,11;16,82;-21,12;-50,66;-1,38;-0,49;0,89;-0,23;0,29;0,72;-0,26;1,37;-60,68;-19,53;-20,19;0,32;0,67;0,39;-15,90;;118.776,33;19,07;-11,57;0,00;44.896.804,92
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,02;16.497.692,59
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,01;16.497.692,59
SMFT3;21,90;2,63;28,21;2,37;0,72;41,79;22,78;7,73;9,57;11,76;2,19;0,54;2,18;9,04;-0,93;1,53;8,39;2,54;11,66;0,30;0,70;0,33;22,98;;72.464.036,81;9,25;0,78;-0,51;13.079.776.160,70
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;20,63;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SOMA3;5,95;;2,96;0,80;0,49;56,80;-46,46;29,33;-1,87;-2,32;-0,45;0,19;0,87;2,01;-0,84;2,36;27,15;16,44;-47,20;0,61;0,39;0,56;37,72;80,87;99.716.529,00;7,40;2,01;0,01;4.669.246.869,35
STKF3;0,00;;0,00;0,00;0,00;54,65;36,95;23,68;0,00;3,27;3,27;0,25;0,00;0,00;0,00;3,14;4,97;3,15;4,97;0,63;0,37;0,13;24,60;27,74;;8,19;0,41;0,00;0,00
TCSA3;1,80;;-0,98;0,35;0,11;-8,15;-21,52;-31,51;-1,43;-6,28;-4,85;1,18;0,31;4,11;-0,16;1,08;-35,79;-10,80;-10,72;0,30;0,69;0,34;5,16;;400.424,14;5,14;-1,84;-0,01;132.514.614,00
TECN3;6,36;3,75;6,20;0,96;0,57;54,67;16,13;15,17;5,83;6,01;0,18;0,03;0,94;1,25;-1,72;3,20;15,53;9,25;10,50;0,60;0,40;0,61;4,83;;555.411,05;6,60;1,03;0,84;393.405.527,40
TEKA3;42,50;;-0,13;-0,01;0,02;24,58;-4,48;-52,80;-1,47;-43,28;-42,29;;0,07;-0,01;-0,02;0,05;-7,76;-13,93;0,97;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;-0,01;14.260.237,50
TEKA4;21,25;;-0,06;0,00;0,01;24,58;-4,48;-52,80;-0,74;-43,28;-42,29;;0,03;0,00;-0,01;0,05;-7,76;-13,93;0,97;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;0,00;14.260.237,50
TEND3;22,50;0,76;14,71;2,54;0,54;28,78;10,02;5,51;8,08;9,39;1,30;0,41;0,81;2,08;-1,31;1,77;17,30;3,65;14,48;0,21;0,78;0,66;10,99;-6,58;26.469.869,33;8,84;1,53;0,00;2.758.008.420,00
TFCO4;14,33;1,28;107,08;27,91;16,29;57,23;20,42;14,30;74,96;12,72;0,54;0,20;15,31;37,33;-52,54;2,72;26,06;15,21;22,12;0,58;0,42;1,06;30,70;40,02;5.216.750,00;0,51;0,13;11,86;2.195.613.961,50
TOKY3;1,00;;-0,96;377,95;63,41;46,20;-14,52;-19,19;-1,27;-1,27;-0,01;1,84;0,18;1.803,49;-95,16;1,12;-39.387,74;-6.608,68;-12.430,25;0,17;0,92;344,36;14,79;;452.734,05;0,00;-1,04;-0,02;122.763.403,00
TOYB3;2,29;;-43,94;0,03;0,00;24,06;-10,70;-10,96;-45,00;-46,99;;;4,81;0,34;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;0,03;0,00;24,06;-10,70;-10,96;-49,12;-46,99;;;5,26;0,37;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,52;71.890.222,22
TRIS3;6,30;4,77;6,45;0,78;0,38;29,53;15,35;13,86;5,82;7,58;1,76;0,24;0,89;0,62;-2,35;3,57;12,16;5,85;6,94;0,48;0,51;0,42;11,01;5,42;2.083.412,71;8,04;0,98;0,15;1.175.690.489,40
TXRX3;9,98;;-0,97;-0,12;0,25;19,79;2,57;-37,23;14,04;113,00;106,73;;0,36;-0,25;-0,40;0,27;-12,15;-25,96;-7,59;-2,14;3,14;0,70;2,30;;998,00;-84,66;-10,29;0,00;18.965.129,18
TXRX4;1,58;;-0,15;-0,02;0,04;19,79;2,57;-37,23;2,22;113,00;106,73;;0,06;-0,04;-0,06;0,27;-12,15;-25,96;-7,59;-2,14;3,14;0,70;2,30;;247,25;-84,66;-10,29;0,00;18.965.129,18
UCAS3;1,40;12,97;21,91;0,50;0,24;35,73;-2,08;1,90;-19,97;-32,47;-12,49;0,31;0,42;3,20;-0,35;1,30;2,26;1,08;-3,01;0,48;0,52;0,57;8,69;-25,16;33.677,81;2,82;0,06;-0,31;92.520.909,60
VIVA3;25,60;2,58;8,25;2,32;1,43;70,11;27,44;27,44;8,25;8,65;0,40;0,11;2,27;3,18;-3,82;3,54;28,05;17,33;21,78;0,62;0,38;0,63;28,01;23,21;55.294.495,43;11,06;3,10;0,08;6.046.662.886,40
VIVR3;0,83;;-0,72;0,22;0,11;29,89;-34,81;-39,35;-0,81;-0,84;-0,03;0,01;0,28;0,65;-0,20;1,71;-30,01;-15,91;-23,84;0,53;0,47;0,40;;;20.892,43;3,85;-1,16;0,02;31.843.848,06
VSTE3;6,03;;-73,55;0,67;0,42;63,27;3,98;-0,83;15,34;21,97;6,63;0,29;0,61;4,89;-0,59;1,41;-0,91;-0,57;3,28;0,63;0,37;0,69;3,10;;57.553,29;9,00;-0,08;0,40;689.433.073,29
VTRU3;8,95;0,27;;;;;;;;;;;;;;;;;;;;;;;3.015.597,05;;0,00;;339.080.210,15
VULC3;18,83;8,63;8,84;2,35;1,77;41,88;18,82;18,63;8,75;8,77;0,02;0,01;1,65;3,45;-5,88;3,74;26,62;20,02;22,84;0,75;0,25;1,07;17,52;32,63;8.884.421,33;8,01;2,13;0,51;5.188.347.474,52
WEST3;3,63;;-2,06;0,18;0,13;40,08;-19,65;-12,23;-1,28;1,90;3,18;-0,45;0,25;0,36;-0,32;2,91;-8,86;-6,55;-14,17;0,74;0,26;0,54;5,08;;18.523,71;19,94;-1,77;0,03;40.326.933,24
WHRL3;4,19;17,14;7,04;2,30;0,63;18,11;7,43;6,80;6,44;4,62;-1,80;-0,64;0,48;14,85;-2,01;1,07;32,67;8,90;17,85;0,27;0,73;1,31;10,80;-12,80;20.935,43;1,82;0,60;0,05;6.277.709.960,58
WHRL4;4,15;19,04;6,97;2,28;0,62;18,11;7,43;6,80;6,37;4,62;-1,80;-0,64;0,47;14,70;-1,99;1,07;32,67;8,90;17,85;0,27;0,73;1,31;10,80;-12,80;134.621,86;1,82;0,60;0,05;6.277.709.960,58
YDUQ3;13,18;4,33;11,31;1,16;0,37;60,89;17,03;5,94;3,95;8,79;4,85;1,43;0,67;5,65;-0,49;1,36;10,29;3,25;10,24;0,32;0,68;0,55;8,46;-13,14;37.526.742,38;11,32;1,17;0,11;3.612.491.056,18
ZAMP3;3,35;;-9,46;0,90;0,31;64,73;-0,03;-3,07;-869,96;-1.344,47;-474,51;0,49;0,29;11,24;-0,41;1,14;-9,48;-3,31;-1,66;0,35;0,65;1,08;9,70;;1.160.533,19;3,73;-0,35;-1,19;1.363.230.223,25
