TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
VULC3,7.14,19.78,176.89,372.16,22.59,36.4,195.26,13.81,9.84,137.74,35.52,1267,52.466680997420454
CURY3,11.25,32.19,186.13,342.92,23.4,34.67,156.78,11.27,8.4,74.64,38.68,1267,45.71911816167036
CPLE3,6.49,12.93,99.17,184.31,14.77,23.24,85.14,8.47,2.53,38.99,26.87,1267,46.19391243014486
ITSA3,8.81,11.8,33.9,99.32,6.01,14.79,65.42,8.78,3.76,42.63,21.13,1267,65.86790173177607
FLRY3,25.5,15.0,-41.17,-20.98,-10.07,-4.6,20.19,5.47,4.66,18.28,30.42,1267,0.0
FIQE3,8.99,5.68,-36.82,-22.1,-8.77,-4.87,14.72,3.9,0.85,9.41,41.9,1102,0.0
EZTC3,31.37,13.63,-56.55,-45.42,-15.36,-11.41,11.13,3.95,3.18,10.13,43.89,1267,0.0
SBFG3,28.47,13.14,-53.85,-49.59,-14.33,-12.8,4.26,1.53,0.98,3.43,53.64,1267,0.0
MGLU3,224.48,9.29,-95.86,-95.73,-47.11,-46.78,0.13,0.33,0.7,0.31,68.72,1267,0.0
