TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
VULC3,7.14,19.78,176.89,372.16,22.59,36.4,195.26,13.81,9.84,137.74,35.52,1267,52.466680997420454
UNIP6,31.34,58.87,87.85,255.77,13.44,28.89,167.92,15.46,45.18,144.16,34.61,1267,65.65273487899283
CXSE3,10.01,16.26,62.44,131.99,10.19,18.33,69.55,8.14,4.25,42.42,27.71,1164,52.69338586256534
ITSA3,8.81,11.8,33.9,99.32,6.01,14.79,65.42,8.78,3.76,42.63,21.13,1267,65.86790173177607
BBAS3,17.67,21.75,23.09,84.29,4.24,13.01,61.2,8.76,8.54,48.34,27.44,1267,72.60647763673033
ISAE4,26.91,27.77,3.2,56.11,0.63,9.32,52.92,8.69,10.27,38.18,20.28,1265,94.3147389057209
JHSF3,7.64,7.95,4.06,47.68,0.8,8.11,43.62,7.31,1.77,23.13,38.83,1267,91.48489932885906
BBDC3,18.65,15.85,-15.03,21.31,-3.2,3.94,36.33,7.14,5.06,27.11,27.55,1267,100.0
GMAT3,8.41,4.47,-46.85,-43.4,-11.87,-10.76,3.45,1.11,0.44,5.27,38.84,1267,0.0
