TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao,contrib_dividendos
UNIP3,3.57,58.06,1525.68,4968.25,32.16,48.08,3442.57,15.92,46.95,1314.47,38.04,2510,69.29140039249233
JHSF3,1.38,7.95,476.09,781.57,19.14,24.32,305.49,5.18,2.11,153.1,49.15,2510,39.086710083549775
ENGI3,2.36,12.38,423.75,585.71,18.01,21.23,161.96,3.22,2.76,116.83,57.57,2510,27.65190964811938
TEND3,4.97,24.95,402.01,453.06,17.51,18.65,51.05,1.14,2.07,41.66,53.12,2510,11.267823246369133
SYNE3,9.2,5.0,-45.65,357.27,-5.92,16.42,402.92,22.33,19.58,212.88,52.93,2510,100.0
POMO3,2.2,5.64,156.2,350.27,9.86,16.24,194.07,6.37,2.64,120.02,39.96,2510,55.40582978844891
BALM4,9.12,17.89,96.16,235.75,6.97,12.88,139.59,5.91,8.07,88.5,50.13,2510,59.21102863202545
LAVV3,8.86,15.83,78.67,205.61,5.98,11.82,126.94,5.84,4.69,52.97,36.8,1322,61.73824230338991
GRND3,5.68,5.39,-5.16,88.05,-0.53,6.52,93.21,7.05,4.93,86.71,32.02,2510,100.0
IGTI11,20.46,25.2,23.17,36.35,2.11,3.15,13.19,1.04,2.06,10.05,31.71,1024,36.28610729023383
BMOB3,22.16,22.9,3.34,31.05,0.33,2.74,27.71,2.41,4.24,19.14,38.28,1216,89.24315619967794
DASA3,9.05,4.36,-51.81,-49.12,-7.04,-6.53,2.69,0.51,1.95,21.57,59.85,2510,0.0
BLAU3,41.1,13.02,-68.32,-62.56,-10.86,-9.36,5.76,1.5,2.91,7.08,42.61,1172,0.0
BHIA3,65.18,3.01,-95.38,-95.36,-26.47,-26.43,0.03,0.04,0.91,1.39,75.62,2510,0.0
