TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NEMO6;0,00;;0,00;0,00;0,00;31,42;20,52;6,84;0,00;6,73;6,73;5,27;0,00;0,00;0,00;3,52;26,10;2,04;3,43;0,08;0,72;0,30;10,47;;;35,31;9,22;0,00;0,00
NUTR3;2,18;;3,97;0,58;0,23;14,84;5,23;3,51;2,66;4,47;1,81;0,39;0,14;0,98;-0,65;1,59;14,57;5,86;-3,68;0,40;0,60;1,67;23,51;16,23;10.168,74;3,77;0,55;0,13;28.872.792,00
PATI3;30,22;1,44;14,83;0,95;0,51;10,92;4,25;2,61;9,10;8,98;-0,11;-0,01;0,39;1,44;-1,65;2,07;6,43;3,46;4,98;0,54;0,46;1,33;6,07;-23,20;2.351,65;31,68;2,04;-0,34;722.497.985,26
PATI4;29,50;6,31;14,48;0,93;0,50;10,92;4,25;2,61;8,88;8,98;-0,11;-0,01;0,38;1,40;-1,62;2,07;6,43;3,46;4,98;0,54;0,46;1,33;6,07;-23,20;1.475,00;31,68;2,04;-0,33;722.497.985,26
PMAM3;0,30;;-0,07;-0,01;0,07;-41,46;-106,56;-236,74;-0,15;-9,59;-9,44;;0,16;-0,01;-0,09;0,03;-17,65;-110,30;33,55;-6,25;7,25;0,47;-33,40;;1.444.998,91;-25,38;-4,48;0,00;89.159.469,90
RANI3;8,00;5,97;9,09;1,25;0,48;39,03;24,18;12,12;4,56;7,21;2,68;0,74;1,10;2,65;-0,72;2,19;13,78;5,27;8,97;0,38;0,62;0,43;10,37;16,93;3.910.939,04;6,38;0,88;-0,24;1.832.484.691,05
RANI4;5,50;;6,25;0,86;0,33;39,03;24,18;12,12;3,13;7,21;2,68;0,74;0,76;1,82;-0,49;2,19;13,78;5,27;8,97;0,38;0,62;0,43;10,37;16,93;;6,38;0,88;-0,17;1.832.484.691,05
SNSY3;9,13;;-0,23;-0,03;0,12;19,10;-3,62;-32,42;-2,05;-9,54;-7,14;;0,07;-0,34;-0,29;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;231,30;-302,39;-39,88;0,00;82.489.914,40
SNSY5;2,56;;-0,06;-0,01;0,03;19,10;-3,62;-32,42;-0,58;-9,54;-7,14;;0,02;-0,10;-0,08;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;15.170,39;-302,39;-39,88;0,00;82.489.914,40
SNSY6;11,51;;-0,29;-0,04;0,16;19,10;-3,62;-32,42;-2,59;-9,54;-7,14;;0,09;-0,43;-0,36;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;;-302,39;-39,88;0,00;82.489.914,40
SUZB3;42,66;2,63;4,74;1,12;0,33;31,42;20,52;22,96;5,31;12,03;6,73;1,42;1,09;1,78;-0,44;3,51;23,68;6,86;-0,36;0,29;0,71;0,30;10,47;;224.715.034,48;38,00;9,00;0,00;53.927.257.455,90
TKNO3;214,99;9,00;21,11;2,19;1,79;21,26;10,82;10,11;19,72;18,66;-1,10;-0,12;2,13;4,65;-3,77;3,78;10,38;8,50;4,10;0,82;0,18;0,84;10,24;18,59;0,00;98,12;10,18;-0,52;635.123.987,99
TKNO4;216,00;7,59;21,21;2,20;1,80;21,26;10,82;10,11;19,81;18,66;-1,10;-0,12;2,14;4,68;-3,79;3,78;10,38;8,50;4,10;0,82;0,18;0,84;10,24;18,59;0,00;98,12;10,18;-0,52;635.123.987,99
UNIP3;58,11;15,92;17,55;3,51;0,88;25,68;12,43;7,48;10,56;14,94;3,87;1,29;1,31;4,98;-1,33;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;313.032,43;16,55;3,31;-0,41;6.898.360.865,80
UNIP5;62,01;16,41;18,73;3,75;0,94;25,68;12,43;7,48;11,27;14,94;3,87;1,29;1,40;5,32;-1,42;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;8.246,15;16,55;3,31;-0,44;6.898.360.865,80
UNIP6;62,30;16,34;18,82;3,77;0,95;25,68;12,43;7,48;11,32;14,94;3,87;1,29;1,41;5,34;-1,43;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;6.465.695,13;16,55;3,31;-0,44;6.898.360.865,80
USIM3;7,75;;-3,72;0,47;0,28;8,39;-5,65;-10,32;-6,80;-6,80;0,35;-0,02;0,38;0,77;-0,53;4,54;-12,70;-7,50;-11,11;0,59;0,33;0,73;10,30;;3.177.175,30;16,39;-2,08;0,00;10.204.399.668,60
USIM5;8,65;;-4,16;0,53;0,31;8,39;-5,65;-10,32;-7,59;-6,80;0,35;-0,02;0,43;0,85;-0,59;4,54;-12,70;-7,50;-11,11;0,59;0,33;0,73;10,30;;89.046.675,70;16,39;-2,08;0,00;10.204.399.668,60
USIM6;8,65;;-4,16;0,53;0,31;8,39;-5,65;-10,32;-7,59;-6,80;0,35;-0,02;0,43;0,85;-0,59;4,54;-12,70;-7,50;-11,11;0,59;0,33;0,73;10,30;;192,22;16,39;-2,08;0,00;10.204.399.668,60
VALE3;75,10;7,29;21,37;1,74;0,73;35,08;15,71;7,26;9,88;11,97;2,10;0,37;1,55;19,71;-0,90;1,24;8,16;3,41;2,67;0,42;0,57;0,47;0,72;-10,20;1.244.128.866,22;43,07;3,51;-0,42;333.380.898.276,40
VITT3;3,44;4,13;8,75;0,86;0,56;29,45;7,86;7,70;8,58;11,72;3,15;0,31;0,67;1,61;-1,48;2,26;9,79;6,41;6,51;0,65;0,35;0,83;9,09;-5,40;500.810,52;4,02;0,39;-0,59;542.109.544,96
