TICKER,PRECO,ULTIMO DIVIDENDO,DY,VALOR PATRIMONIAL COTA,P/VP,LIQUIDEZ MEDIA DIARIA,PERCENTUAL EM CAIXA,CAGR DIVIDENDOS 3 ANOS,CAGR VALOR COTA 3 ANOS,PATRIMONIO,N COTISTAS,GESTAO,N COTAS,SETOR
HLOG11,9.39,0.072000,10.09,11.81,0.80,127345.19,3.20,13.54,6.33,501876610.77,4031.00,,42500000.00,Imóveis Industriais e Logísticos
HSLG11,85.11,0.750000,10.10,110.20,0.77,29844573.76,6.12,-0.99,3.89,1395084493.64,39898.00,,12660067.00,Imóveis Industriais e Logísticos
IBBP11,7.40,0.082100,12.44,9.42,0.79,81677.00,0.45,,,1000765807.46,1866.00,,102092483.00,Imóveis Industriais e Logísticos
INLG11,63.85,0.600000,12.44,106.42,0.60,113662.10,0.82,-2.13,-8.31,480172754.45,14627.00,,4512103.00,Imóveis Industriais e Logísticos
KOPI11,0.00,,0.00,63.81,,,3.50,,,118155565.38,8102.00,,0.00,Imóveis Industriais e Logísticos
LVBI11,101.39,0.750000,8.88,120.41,0.84,3366587.62,0.66,-5.60,3.29,1940906101.07,124397.00,,16118565.00,Imóveis Industriais e Logísticos
MCLO11,10.88,0.070000,9.58,13.85,0.79,2042196.36,3.32,,,1726262391.66,288.00,,124642860.00,Imóveis Industriais e Logísticos
NEWL11,100.94,1.000000,11.77,126.71,0.80,127669.95,16.54,0.03,6.06,356076770.02,7282.00,,2810193.00,Imóveis Industriais e Logísticos
PATL11,0.01,0.570000,52600.00,0.24,0.04,0.00,3406.80,-0.19,-94.29,1213780.04,33550.00,,4991535.00,Imóveis Industriais e Logísticos
PBLV11,663.11,48.992223,14.45,1620.63,0.41,,5.63,,,7875555865.21,2.00,,4859552.00,Imóveis Industriais e Logísticos
PQAG11,56.89,0.490000,10.20,56.46,1.01,2681.10,0.04,2.16,10.40,789982204.24,459.00,,13991890.00,Imóveis Industriais e Logísticos
RBLG11,17.69,0.040000,9.98,31.51,0.56,98.44,5.16,-27.71,-1.20,20171935.08,238.00,,640199.00,Imóveis Industriais e Logísticos
RBRL11,71.99,0.600000,11.67,95.14,0.76,334769.43,9.17,1.01,1.00,636203454.98,16746.00,,6687035.00,Imóveis Industriais e Logísticos
RELG11,67.80,0.800000,12.98,92.52,0.73,39909.86,6.07,29.06,13.04,33156490.17,3565.00,,358379.00,Imóveis Industriais e Logísticos
RZAT11,90.86,1.700000,15.49,102.13,0.89,765120.33,12.50,4.85,11.95,432513634.03,34534.00,,4235042.00,Imóveis Industriais e Logísticos
RZZR11,128.80,1.232000,11.34,183.62,0.70,94312.05,0.95,1.87,-6.76,1026792113.20,567.00,,5591861.00,Imóveis Industriais e Logísticos
SBCL11,0.00,,0.00,0.00,,,,,,0.00,0.00,Ativa,0.00,Imóveis Industriais e Logísticos
SJAU11,1.70,11.880000,0.00,14.85,0.11,814.62,24.48,,-72.55,11776403.66,846.00,,793224.00,Imóveis Industriais e Logísticos
SNLG11,1.24,0.840000,0.00,2.03,0.61,0.00,145.77,,47.05,5134408.19,9267.00,,2529966.00,Imóveis Industriais e Logísticos
TRBL11,51.06,0.440000,19.58,76.70,0.67,663428.33,7.12,1.55,-11.20,593558338.91,41762.00,,7739092.00,Imóveis Industriais e Logísticos
VERE11,127709.34,3.000000,0.03,527.94,241.90,,1.49,29.88,,338181615.99,111.00,,640565.00,Imóveis Industriais e Logísticos
VILG11,89.70,0.820000,10.35,109.32,0.83,1965410.29,6.06,7.07,1.35,1639557042.98,149719.00,,14997396.00,Imóveis Industriais e Logísticos
VTLT11,88.98,1.262349,7.48,90.55,0.98,12462404.00,1.31,5.80,6.26,191517274.18,5533.00,,2115000.00,Imóveis Industriais e Logísticos
XPIN11,62.04,0.850000,12.22,81.65,0.76,0.00,3.92,8.89,0.29,583807695.49,36191.00,,7150422.00,Imóveis Industriais e Logísticos
