TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO
MULT,Financeiro e Outros,25.31,4.41,9.93,2.26,1.03,82.84,67.34,51.35,7.57,10.04,2.47,0.74,5.1,20.32,-1.24,1.41,22.76,10.36,13.41,0.46,0.54,0.2,14.28,22.66,67497211.62,11.2,2.55,0.47,12988173272.31
MWET,Bens Industriais,12.55,,0.995,1.3050000000000002,0.08499999999999999,5.77,21.95,9.68,0.435,1.78,1.35,4.02,0.095,-0.86,-0.135,0.79,131.35,8.52,50.16,0.06,0.94,0.88,9.33,,4837.5,9.64,12.66,0.0,25519237.2
MYPK,Consumo Cíclico,13.79,4.23,9.41,0.49,0.14,12.0,6.62,1.44,2.04,5.8,3.75,0.9,0.14,0.78,-0.26,1.61,5.23,1.47,7.48,0.28,0.69,1.02,8.89,-7.76,6973422.52,28.02,1.47,0.07,2119793297.79
NAFG,Consumo Cíclico,41.695,,7.6450000000000005,1.7899999999999998,0.745,41.15,16.49,9.34,4.325,5.06,1.17,0.48,0.7150000000000001,2.0700000000000003,-1.86,2.52,23.42,9.77,15.89,0.42,0.58,1.05,7.87,35.19,,23.3,5.46,-0.74,508315292.42
NATU,Consumo não Cíclico,9.55,,,,,,,,,,,,,,,,,,,,,,,,51942617.4,,,,0.0
NEOE,Utilidade Pública,23.6,3.51,8.16,0.85,0.26,26.86,19.89,7.07,2.9,7.45,4.55,1.33,0.58,10.89,-0.33,1.13,10.38,3.2,10.36,0.31,0.69,0.45,11.47,9.5,19124179.0,27.85,2.89,-0.41,28645615052.8
NEXP,Financeiro e Outros,3.86,,0.1,-0.2,0.28,43.77,132.33,112.43,0.09,0.02,-0.07,,0.12,-0.55,-0.66,0.53,-197.32,276.02,-232.24,-1.4,2.39,2.45,-3.43,,1146.06,-19.02,37.54,0.0,10250496.34
NGRD,Tecnologia da Informação,25.0,,-7.33,0.51,0.38,58.7,-14.88,-11.31,-5.57,-2.64,2.93,-0.27,0.83,1.73,-0.6,2.54,-6.96,-5.22,-9.68,0.75,0.25,0.46,5.77,,138388.43,49.01,-3.41,-0.01,228523600.0
NORD,Bens Industriais,5.9,,0.94,-0.32,2.02,90.96,1358.95,1613.8,1.12,2.21,1.09,,15.23,-0.31,-2.19,0.01,-33.44,213.88,-29.37,-6.4,7.4,0.13,13.33,,1868.33,-18.69,6.25,0.0,39066767.4
NRTQ,Saúde,0.0,,0.0,0.0,0.0,27.6,9.33,3.53,0.0,3.18,3.18,0.29,0.0,0.0,0.0,4.62,3.5,2.19,4.71,0.62,0.38,0.62,7.47,-12.02,,20.02,0.7,0.0,0.0
NTCO,Consumo não Cíclico,11.05,,-1.86,1.01,0.43,65.54,4.1,-33.03,15.01,17.9,2.88,0.19,0.62,3.05,-0.73,1.53,-53.96,-23.17,0.48,0.43,0.57,0.7,10.77,,76189497.07,10.98,-5.93,0.0,15188862109.85
NUTR,Materiais Básicos,3.07,,7.23,0.95,0.37,17.76,7.05,2.88,2.95,3.73,0.78,0.25,0.21,1.15,-1.26,1.81,13.17,5.07,17.65,0.38,0.62,1.76,25.86,-30.42,9195.29,3.22,0.42,2.81,40660308.0
ODER,Consumo não Cíclico,48.89,0.36,13.36,1.0,0.485,28.7,8.15,5.61,9.195,,4.6,0.5,0.75,0.975,-1.675,3.33,7.5,3.63,3.82,0.48,0.52,0.65,11.9,14.83,0.0,48.79,3.66,-0.305,
ODPV,Saúde,11.31,8.07,10.98,4.52,2.76,36.46,31.61,24.29,8.44,7.76,-0.68,-0.36,2.67,-55.21,-3.82,0.85,41.21,25.15,23.16,0.61,0.39,1.04,4.75,14.57,15426575.0,2.5,1.03,1.3,6173283984.66
OFSA,Saúde,22.26,3.27,9.72,1.89,0.95,50.58,81.96,11.92,1.41,1.65,0.24,0.31,1.16,2.54,-2.44,2.56,19.44,9.75,82.39,0.5,0.5,0.82,10.59,21.7,117912.52,11.78,2.29,-0.02,1200904873.56
OGXP,"Petróleo, Gás e Biocombustíveis",1.63,,-2.15,-0.98,0.92,,,,-9.26,-9.26,0.0,,,-0.98,,0.51,-45.53,-43.02,10.57,-0.94,1.94,0.0,,,,-1.67,-0.76,0.02,52747073.84
OIBR,Comunicações,4.565,,0.10500000000000001,-0.1,0.07500000000000001,-103.32,-68.99,847.38,-1.3150000000000002,-8.78,-8.61,,0.905,-0.655,-0.10500000000000001,0.7,-95.87,71.54,34.71,-0.75,1.74,0.08,-30.86,,789259.665,-44.41,42.57,0.0,200771793.94
