TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
RSUL4;43,84;;4,24;0,93;0,57;41,67;23,40;14,96;2,71;0,81;-0,30;-0,10;0,63;1,45;-1,32;3,22;21,84;13,44;9,33;0,62;0,38;0,90;16,58;;293.739,48;47,32;10,34;0,60;109.390.664,00
SEQL3;0,06;;-1,10;-1,50;0,55;7,71;-33,49;-61,27;-2,01;-3,79;-1,78;;0,67;-1,14;-0,66;0,26;-136,47;-50,14;-188,29;-0,37;1,37;0,82;-9,89;;46.739,09;-0,04;-0,05;0,02;382.229.320,32
SHUL3;27,31;1,51;35,74;6,38;3,26;22,44;10,96;14,43;47,06;23,91;-0,65;-0,09;5,16;8,36;-9,08;2,56;17,86;9,13;8,48;0,51;0,49;0,63;13,02;14,00;;4,28;0,76;14,32;5.093.155.277,00
SHUL4;4,51;10,08;5,90;1,05;0,54;22,44;10,96;14,43;7,77;23,91;-0,65;-0,09;0,85;1,38;-1,50;2,56;17,86;9,13;8,48;0,51;0,49;0,63;13,02;14,00;2.231.133,09;4,28;0,76;2,37;5.093.155.277,00
SOND3;38,66;22,14;2,81;1,33;0,73;35,67;19,63;14,61;2,09;2,48;-0,97;-0,61;0,41;2,61;-2,06;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;3.866,00;29,12;13,78;0,07;156.583.431,00
SOND5;77,09;12,21;5,60;2,65;1,45;35,67;19,63;14,61;4,16;2,48;-0,97;-0,61;0,82;5,19;-4,11;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;5.923,08;29,12;13,78;0,13;156.583.431,00
SOND6;79,98;11,77;5,81;2,75;1,51;35,67;19,63;14,61;4,32;2,48;-0,97;-0,61;0,85;5,39;-4,27;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;0,00;29,12;13,78;0,14;156.583.431,00
STBP3;14,42;;13,44;13,60;2,24;59,07;46,45;25,05;7,25;8,53;1,29;2,41;3,37;228,55;-2,66;1,07;101,21;16,65;25,49;0,16;0,84;0,66;31,30;;3.082.209,00;1,06;1,07;0,79;12.461.336.720,98
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;21,15;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
TASA3;5,12;0,06;-18,98;0,60;0,29;33,32;1,45;-2,56;33,54;57,41;25,44;0,46;0,49;1,47;-0,67;1,53;-3,16;-1,52;-1,45;0,48;0,52;0,59;-3,77;;54.761,74;8,52;-0,27;0,13;679.686.078,08
TASA4;4,74;0,07;-17,57;0,56;0,27;33,32;1,45;-2,56;31,05;57,41;25,44;0,46;0,45;1,36;-0,62;1,53;-3,16;-1,52;-1,45;0,48;0,52;0,59;-3,77;;1.134.446,09;8,52;-0,27;0,12;679.686.078,08
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TGMA3;31,43;12,22;8,72;2,28;1,52;18,59;14,12;10,32;6,37;6,40;0,03;0,01;0,90;5,80;-2,89;2,22;26,13;17,42;13,14;0,67;0,33;1,69;17,07;26,45;5.792.221,74;13,80;3,61;-0,63;2.074.471.618,45
TPIS3;8,80;6,24;-1,00;0,77;0,18;26,50;-52,90;-42,83;-0,81;-3,28;-2,47;2,36;0,43;-0,52;-0,20;0,22;-77,17;-17,97;-28,01;0,23;0,78;0,42;1,71;;296.421,13;11,40;-8,80;0,00;387.200.000,00
TUPY3;15,68;;-2,80;0,90;0,23;11,31;-3,25;-7,79;-6,71;-13,40;-6,70;0,89;0,22;0,64;-0,62;2,24;-31,97;-8,03;-7,22;0,25;0,75;1,03;17,88;;10.691.569,30;17,50;-5,59;0,00;2.076.822.507,20
VAMO3;3,23;4,36;12,83;1,52;0,17;50,50;43,43;5,09;1,50;6,02;4,51;4,55;0,65;1,38;-0,24;1,77;11,81;1,34;12,65;0,11;0,89;0,26;30,63;11,41;32.275.426,57;2,13;0,25;22,78;3.946.500.773,95
VLID3;17,88;9,43;5,86;0,83;0,47;34,81;13,59;12,13;5,23;5,49;0,26;0,04;0,71;1,75;-0,89;2,32;14,22;8,01;9,42;0,56;0,43;0,66;1,24;;3.648.142,35;21,47;3,05;-0,29;1.427.474.385,00
VSPT3;5,00;;-39,23;0,78;0,38;12,17;-2,09;-1,89;-35,49;-31,74;3,74;-0,08;0,74;-12,77;-0,42;0,78;-1,99;-0,96;-2,20;0,48;0,52;0,51;6,04;;;6,41;-0,13;0,27;2.569.294.560,00
VSPT4;0,00;;0,00;0,00;0,00;12,17;-2,09;-1,89;0,00;-31,74;3,74;-0,08;0,00;0,00;0,00;0,78;-1,99;-0,96;-2,20;0,48;0,52;0,51;6,04;;;6,41;-0,13;0,00;2.569.294.560,00
WEGE3;46,74;2,89;31,20;11,06;4,52;33,24;19,66;15,64;24,82;24,40;-0,42;-0,19;4,88;20,27;-12,23;1,55;35,43;14,49;28,32;0,41;0,56;0,93;18,49;21,85;333.986.033,96;4,23;1,50;73,15;196.182.643.226,52
WLMM3;20,19;6,06;9,27;0,93;0,47;13,02;5,49;2,70;4,56;5,60;1,48;0,30;0,25;1,69;-1,13;1,89;10,00;5,03;8,01;0,50;0,50;1,86;24,89;7,82;168,25;21,78;2,18;-0,25;663.974.201,80
WLMM4;16,78;8,02;7,71;0,77;0,39;13,02;5,49;2,70;3,79;5,60;1,48;0,30;0,21;1,41;-0,94;1,89;10,00;5,03;8,01;0,50;0,50;1,86;24,89;7,82;38.510,45;21,78;2,18;-0,21;663.974.201,80
