TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
RENT4;36,05;;17,98;1,54;0,47;26,39;19,31;5,13;4,78;8,74;3,81;1,23;0,92;10,81;-0,62;1,23;8,57;2,64;10,68;0,31;0,69;0,51;32,30;16,55;4.875.349,87;23,40;2,01;1,04;41.811.205.040,55
RIAA3;8,04;31,67;2,68;0,76;0,29;60,93;22,34;14,20;1,70;2,17;0,46;0,21;0,38;1,19;-0,81;1,60;28,33;10,69;26,65;0,38;0,62;0,75;10,94;;9.460.409,35;10,59;3,00;0,01;4.036.607.415,96
RSID3;1,60;;0,39;-0,04;0,07;18,63;33,41;53,86;0,64;8,11;7,48;;0,21;-0,28;-0,12;0,59;-10,46;18,37;-8,69;-1,76;2,76;0,34;19,21;;0,00;-38,77;4,05;-0,01;32.435.526,40
SBFG3;9,59;5,66;6,61;0,72;0,24;48,56;6,85;4,20;4,05;8,97;4,92;0,87;0,28;1,74;-0,48;1,39;10,84;3,67;8,17;0,34;0,66;0,87;26,30;;19.380.553,22;13,39;1,45;-0,16;2.212.067.702,46
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;11,75;2,03;6,13;1,07;0,42;59,66;20,61;10,91;3,25;4,09;0,84;0,28;0,67;3,41;-0,65;1,56;17,40;6,91;19,39;0,40;0,60;0,63;12,13;8,37;7.915.650,78;11,01;1,92;0,02;1.512.478.330,00
SGPS3;1,64;;-0,03;-0,02;0,01;4,26;-86,62;-139,61;-0,04;-2,72;-2,68;;0,04;-0,01;-0,01;0,25;-64,46;-26,55;-303,18;-0,41;1,41;0,19;-20,94;;;-95,16;-61,34;0,00;16.400.000,00
SHOW3;6,02;;-0,93;0,41;0,13;28,06;-8,81;-22,80;-2,41;-0,72;1,69;-0,28;0,21;1,09;-0,26;1,30;-43,49;-13,74;-13,15;0,32;0,68;0,60;35,22;;301.833,30;14,86;-6,46;0,02;40.582.397,24
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,02;16.497.692,59
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,01;16.497.692,59
SMFT3;20,62;5,04;18,41;2,14;0,56;42,93;23,71;9,00;6,99;9,25;2,26;0,69;1,66;5,02;-0,77;1,72;11,65;3,05;12,29;0,26;0,74;0,34;41,96;;95.818.453,48;9,62;1,12;0,38;12.704.597.383,28
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;20,63;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
