TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,SETOR
BEES3,7.99,4.57,8.13,1.13,0.07,29.87,8.53,6.68,6.36,6.36,,,0.54,0.3,-0.09,,13.96,0.87,,0.06,0.94,0.13,17.11,9.69,103226.43,7.04,0.98,-0.82,2775624151.08,Financeiro e Outros
BEES4,7.98,4.74,8.12,1.13,0.07,29.87,8.53,6.68,6.36,6.36,,,0.54,0.3,-0.09,,13.96,0.87,,0.06,0.94,0.13,17.11,9.69,41334.19,7.04,0.98,-0.81,2775624151.08,Financeiro e Outros
BFRE11,0.0,,0.0,0.0,0.0,100.0,195.96,118.16,0.0,,,,0.0,0.0,0.0,,6.82,5.98,,0.88,0.1,0.05,,6.26,,309815.9,21126.92,0.0,,Financeiro e Outros
BFRE12,0.0,,0.0,0.0,0.0,100.0,195.96,118.16,0.0,,,,0.0,0.0,0.0,,6.82,5.98,,0.88,0.1,0.05,,6.26,,309815.9,21126.92,0.0,,Financeiro e Outros
BGIP3,35.82,11.91,5.83,0.89,0.06,30.71,11.76,7.75,3.84,3.71,,,0.45,9.42,-0.06,,15.25,1.01,,0.07,0.93,0.13,13.57,9.63,25152.9,40.31,6.15,-0.57,744275795.12,Financeiro e Outros
BGIP4,33.26,16.66,5.41,0.83,0.05,30.71,11.76,7.75,3.57,3.71,,,0.42,8.75,-0.05,,15.25,1.01,,0.07,0.93,0.13,13.57,9.63,71865.16,40.31,6.15,-0.53,744275795.12,Financeiro e Outros
BLUT3,5.14,,-5.63,0.46,0.14,,,,-6.17,-4.91,-1.59,0.12,,-0.76,-0.14,0.0,-8.24,-2.45,-6.72,0.3,0.7,0.0,,,,11.09,-0.91,0.2,14115600.06,Financeiro e Outros
BLUT4,1.52,,-1.66,0.14,0.04,,,,-1.82,-4.91,-1.59,0.12,,-0.22,-0.04,0.0,-8.24,-2.45,-6.72,0.3,0.7,0.0,,,,11.09,-0.91,0.06,14115600.06,Financeiro e Outros
BMEB3,51.8,2.09,8.74,2.41,0.17,45.51,8.04,8.24,8.95,10.46,,,0.72,0.93,-0.21,,27.54,1.97,,0.07,0.93,0.24,21.54,41.2,35716.5,21.53,5.93,-1.14,6345200622.16,Financeiro e Outros
BMEB4,74.86,1.59,12.63,3.48,0.25,45.51,8.04,8.24,12.93,10.46,,,1.04,1.35,-0.31,,27.54,1.97,,0.07,0.93,0.24,21.54,41.2,1442784.62,21.53,5.93,-1.64,6345200622.16,Financeiro e Outros
