TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,P/L_NORM,ROE_NORM,CAGR RECEITAS 5 ANOS_NORM,DY_NORM,DIVIDA LIQUIDA / EBIT_NORM,PESO_%
LEVE,Consumo Cíclico,28.7,9.19,7.78,4.39,1.05,27.77,16.85,10.4,4.81,5.68,0.87,0.8,0.81,6.78,-2.72,1.34,56.36,13.46,26.29,0.24,0.76,1.29,12.53,14.04,5443465.05,6.54,3.69,-0.23,3889969300.0,0.10559094125973106,0.9104587155963304,0.4636327023761579,0.3596868884540117,0.9318127537616433,0.0
INTB,Tecnologia da Informação,14.51,3.17,10.89,1.62,0.93,29.79,9.74,9.41,10.52,11.26,0.73,0.11,1.02,2.05,-3.2,2.77,14.84,8.53,10.38,0.57,0.42,0.91,22.88,18.17,25133938.38,8.98,1.33,-0.47,4753637206.1,0.061098091730833616,0.8992094861660078,0.2619910466851418,0.5112903225806451,0.32911392405063283,0.0
KEPL,Bens Industriais,7.27,9.01,7.57,1.83,0.86,28.03,15.9,10.89,5.19,5.05,-0.13,-0.05,0.82,2.6,-2.54,2.01,24.17,11.39,16.65,0.47,0.53,1.05,22.47,35.65,6026842.9,3.97,0.96,-0.23,1306565345.1,0.0897094430992736,0.8787959509856152,0.22173866893111133,0.6148771610555049,0.015817223198594025,0.0
RSUL,Bens Industriais,33.65,0.0,3.485,0.815,0.49,41.05,21.75,15.11,2.42,1.53,-0.46,-0.16,0.525,1.395,-1.13,2.65,23.36,14.07,13.76,0.6,0.4,0.93,17.77,27.64,60079.79,41.32,9.66,0.52,167928642.5,0.04025423728813558,0.8680074587107085,0.17185012206772102,0.0,0.014468467732047248,1.1675519429815162
LUXM,Bens Industriais,1.95,0.0,2.22,0.515,0.365,29.34,14.77,26.99,4.06,4.56,0.03,0.0,0.6,8.54,-0.43,1.41,23.24,16.47,5.47,0.71,0.29,0.61,2.77,22.98,10547.8,3.78,0.88,0.025,90417600.0,0.024939467312348668,0.8664091635588703,0.012631355482432861,0.0,0.016471165242980344,0.0
ECOR,Bens Industriais,6.78,0.0,5.76,1.32,0.15,39.22,35.46,8.06,1.31,6.61,5.3,5.35,0.46,-9.13,-0.17,0.9,22.93,2.53,10.52,0.11,0.88,0.31,20.09,0.0,19201283.62,5.13,1.18,0.3,4721146038.72,0.06779661016949151,0.8622802344166223,0.1964759579662456,0.0,0.038010381329954636,17.999787967893386
BAUH,Consumo não Cíclico,41.245,1.5,8.055,1.65,1.135,25.04,7.79,10.44,10.79,0.0,-2.24,-0.34,0.84,4.805,-2.43,1.79,20.51,14.08,12.52,0.69,0.31,1.35,6.53,-0.09,93726.33,24.98,5.12,0.215,0.0,0.026340938955919244,0.8452301534356239,0.0,0.18359853121175032,0.0,11.222953333079557
PORT,Bens Industriais,17.53,6.34,13.52,2.81,1.19,47.83,33.12,18.73,7.65,9.76,2.11,0.78,2.53,57.42,-1.46,1.12,20.81,8.78,13.49,0.42,0.58,0.47,12.8,37.65,17254848.81,6.23,1.3,0.38,7730342587.0,0.16174334140435834,0.8340436867341502,0.11909563740579555,0.43266606005459507,0.02497241182000245,0.05601572056675037
LIGT,Utilidade Pública,5.86,0.0,0.9,0.39,0.08,19.59,10.79,15.82,1.32,5.19,3.87,1.13,0.14,0.85,-0.12,1.44,42.92,9.02,10.04,0.21,0.79,0.57,2.13,12.76,6044811.71,15.14,6.5,0.0,2183174198.64,0.0,0.8250562027386062,0.5682177904400126,0.0,0.980955497382199,60.4007231529919
MILS,Bens Industriais,11.16,4.51,9.17,1.76,0.67,62.94,32.97,17.44,4.85,7.04,2.2,0.8,1.6,3.5,-1.04,2.17,19.17,7.32,11.06,0.38,0.62,0.42,29.09,0.0,6927885.14,6.35,1.22,4.31,2613428790.12,0.10907990314769975,0.8122003196590303,0.29200721791741846,0.30777979981801634,0.025340254219969757,0.0
CSUD,Bens Industriais,17.5,6.45,8.01,1.48,1.03,42.13,22.26,15.78,5.67,5.56,-0.12,-0.03,1.26,16.7,-1.46,1.27,18.47,12.89,12.34,0.7,0.3,0.82,5.53,27.77,465815.86,11.83,2.19,-6.88,731500000.0,0.09503631961259079,0.8028769312733084,0.04192760853412589,0.44017288444040037,0.015858094576368168,0.0
AHEB,Consumo Cíclico,49.6,0.0,3.68,1.7466666666666668,0.7666666666666666,17.28,12.6,16.64,4.859999999999999,2.9500000000000006,-0.59,-0.21,0.6133333333333333,2.4133333333333336,-1.41,3.2999999999999994,47.45000000000001,20.82,23.17,0.44,0.56,1.25,44.62,0.0,6380.0,28.399999999999995,13.48,0.44,308482931.6,0.0475583864118896,0.801467889908257,0.7221103503826017,0.0,0.9143778361595414,0.0
GGPS,Bens Industriais,15.13,2.14,15.38,2.79,0.71,14.79,8.44,4.21,7.68,9.17,1.48,0.54,0.65,2.33,-1.5,2.34,18.15,4.6,12.87,0.25,0.75,1.09,27.93,25.7,34340219.24,5.42,0.98,14.83,10247257021.26,0.18426150121065374,0.7986148108684069,0.27969429996815626,0.14604185623293903,0.022397515020231334,0.0
SHUL,Bens Industriais,16.205,4.19,21.735,3.945,2.0700000000000003,26.23,14.79,13.43,19.74,17.62,-0.16,-0.03,2.92,4.74,-5.81,3.1,18.15,9.52,10.83,0.52,0.48,0.71,12.91,22.36,763618.025,4.11,0.75,14.5,5213917666.44,0.26119854721549635,0.7986148108684069,0.12026324169408767,0.2859417652411283,0.015694609065271592,0.0
TTEN,Consumo não Cíclico,13.3,1.43,8.37,1.6,0.68,18.63,8.77,5.82,5.55,6.02,0.46,0.13,0.49,3.35,-1.95,1.45,19.11,8.07,10.31,0.42,0.58,1.39,41.95,45.71,25796995.81,8.31,1.59,0.32,6643318705.1,0.030103930235336272,0.7985323549032689,1.0,0.17503059975520197,0.36486486486486486,0.7104820681803563
